alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,polarization_jet,1,3,8,4,64,3,sigmoid,float64,backward,3,4.235164736271502e-21,1.5391755096140245e-15,14.576669782400131,16.99365234375,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,8,4,64,3,sigmoid,float64,backward,1,3.8116482626443515e-21,1.385257958652622e-15,19.299572333693504,17.64892578125,ok,
u_111111,"(6,)",6,auto,1,3,8,4,64,3,sigmoid,float64,backward,1,3.8116482626443515e-21,1.385257958652622e-15,19.46110837161541,17.64892578125,ok,waring_complex_jet
u_111122,"(4, 2)",6,polarization_jet,5,7,8,4,64,3,sigmoid,float64,backward,7,2.964615315390051e-21,5.841189414497945e-15,14.19646292924881,17.8876953125,ok,
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,4,64,3,sigmoid,float64,backward,5,1.164670302474663e-21,2.29475298426705e-15,19.705502316355705,19.45166015625,ok,
u_111122,"(4, 2)",6,auto,5,7,8,4,64,3,sigmoid,float64,backward,7,2.964615315390051e-21,5.841189414497945e-15,15.944140031933784,17.8876953125,ok,polarization_jet
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,4,64,3,sigmoid,float64,backward,13,1.9058241313221758e-21,2.567273768285922e-15,17.938341945409775,19.22802734375,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,sigmoid,float64,backward,9,5.293955920339377e-22,7.13131602301645e-16,20.9474079310894,21.25439453125,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,4,64,3,sigmoid,float64,backward,9,5.293955920339377e-22,7.13131602301645e-16,19.96072009205818,21.25439453125,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,8,4,64,3,sigmoid,float64,backward,32,1.283784310682299e-21,8.471943635851636e-15,18.27402040362358,23.4716796875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,4,64,3,sigmoid,float64,backward,32,1.5087774372967225e-21,9.956717262753469e-15,22.45522290468216,31.6201171875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,8,4,64,3,sigmoid,float64,backward,32,1.283784310682299e-21,8.471943635851636e-15,18.252532929182053,23.4716796875,ok,polarization_jet
u_11111111,"(8,)",8,polarization_jet,1,4,8,4,64,3,sigmoid,float64,backward,4,8.046812998915853e-21,6.377350482487776e-15,22.12097868323326,17.693359375,ok,
u_11111111,"(8,)",8,waring_complex_jet,1,4,8,4,64,3,sigmoid,float64,backward,1,1.4823076576950256e-21,1.174775088879327e-15,29.967108741402626,18.13720703125,ok,
u_11111111,"(8,)",8,auto,1,4,8,4,64,3,sigmoid,float64,backward,1,1.4823076576950256e-21,1.174775088879327e-15,30.03854490816593,18.13720703125,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,4,64,3,sigmoid,float64,backward,40,7.014491594449675e-22,5.078328915726306e-15,27.12589129805565,30.0244140625,ok,
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,4,64,3,sigmoid,float64,backward,27,1.0587911840678754e-22,7.665402136945368e-16,35.28083860874176,36.05029296875,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,4,64,3,sigmoid,float64,backward,27,1.0587911840678754e-22,7.665402136945368e-16,33.13861787319183,36.05029296875,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,4,64,3,sigmoid,float64,backward,128,5.277412308088317e-22,1.8484782440537263e-14,26.779519394040108,60.16748046875,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,4,64,3,sigmoid,float64,backward,128,4.963083675318166e-22,1.7383807937809336e-14,36.91337630152702,105.63623046875,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,4,64,3,sigmoid,float64,backward,128,5.277412308088317e-22,1.8484782440537263e-14,26.111269369721413,60.16748046875,ok,polarization_jet
