alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,polarization_jet,1,3,8,4,64,3,sin,float64,backward,3,3.8163916471489756e-17,1.5686383418603096e-15,14.5676638931036,17.29150390625,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,8,4,64,3,sin,float64,backward,1,3.469446951953614e-17,1.4260348562366451e-15,19.214682281017303,17.84423828125,ok,
u_111111,"(6,)",6,auto,1,3,8,4,64,3,sin,float64,backward,1,3.469446951953614e-17,1.4260348562366451e-15,19.0834179520607,17.84423828125,ok,waring_complex_jet
u_111122,"(4, 2)",6,polarization_jet,5,7,8,4,64,3,sin,float64,backward,7,3.122502256758253e-17,3.526208115456998e-15,14.798536896705627,18.583984375,ok,
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,4,64,3,sin,float64,backward,5,6.938893903907228e-18,7.8360180343488845e-16,19.492443650960922,20.42919921875,ok,
u_111122,"(4, 2)",6,auto,5,7,8,4,64,3,sin,float64,backward,7,3.122502256758253e-17,3.526208115456998e-15,14.834962785243988,18.583984375,ok,polarization_jet
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,4,64,3,sin,float64,backward,13,4.7704895589362195e-18,1.372015148795619e-15,17.069729045033455,20.5224609375,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,sin,float64,backward,9,2.6020852139652106e-18,7.48371899343065e-16,19.89785023033619,23.013671875,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,4,64,3,sin,float64,backward,9,2.6020852139652106e-18,7.48371899343065e-16,19.799048081040382,23.013671875,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,8,4,64,3,sin,float64,backward,32,1.8431436932253575e-18,4.6940917148829364e-15,18.021250143647194,26.65966796875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,4,64,3,sin,float64,backward,32,1.8431436932253575e-18,4.6940917148829364e-15,22.167488932609558,37.8740234375,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,8,4,64,3,sin,float64,backward,32,1.8431436932253575e-18,4.6940917148829364e-15,18.063783645629883,26.65966796875,ok,polarization_jet
u_11111111,"(8,)",8,polarization_jet,1,4,8,4,64,3,sin,float64,backward,4,8.326672684688674e-17,1.987478006848234e-15,23.75395968556404,18.3955078125,ok,
u_11111111,"(8,)",8,waring_complex_jet,1,4,8,4,64,3,sin,float64,backward,1,4.163336342344337e-17,9.93739003424117e-16,30.50324134528637,18.48486328125,ok,
u_11111111,"(8,)",8,auto,1,4,8,4,64,3,sin,float64,backward,1,4.163336342344337e-17,9.93739003424117e-16,30.401267111301422,18.48486328125,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,4,64,3,sin,float64,backward,40,8.023096076392733e-18,5.0883461979321225e-15,28.802957385778427,37.056640625,ok,
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,4,64,3,sin,float64,backward,27,2.3852447794681098e-18,1.5127515723581986e-15,35.75391508638859,45.4404296875,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,4,64,3,sin,float64,backward,27,2.3852447794681098e-18,1.5127515723581986e-15,34.83058139681816,45.4404296875,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,4,64,3,sin,float64,backward,128,1.904130065427667e-18,2.4221527492223753e-14,29.64196354150772,82.67431640625,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,4,64,3,sin,float64,backward,128,1.904130065427667e-18,2.4221527492223753e-14,40.17467051744461,150.1533203125,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,4,64,3,sin,float64,backward,128,1.904130065427667e-18,2.4221527492223753e-14,29.241051524877548,82.67431640625,ok,polarization_jet
