alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,polarization_jet,1,3,8,4,64,3,tanh,float64,backward,3,2.7755575615628914e-16,1.6246598756659172e-15,14.51646164059639,17.08740234375,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,8,4,64,3,tanh,float64,backward,1,1.3877787807814457e-16,8.123299378329586e-16,19.62905190885067,17.71142578125,ok,
u_111111,"(6,)",6,auto,1,3,8,4,64,3,tanh,float64,backward,1,1.3877787807814457e-16,8.123299378329586e-16,19.754113629460335,17.71142578125,ok,waring_complex_jet
u_111122,"(4, 2)",6,polarization_jet,5,7,8,4,64,3,tanh,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,14.538770541548729,18.1064453125,ok,
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,4,64,3,tanh,float64,backward,5,2.42861286636753e-17,5.820465185922694e-16,19.88666132092476,19.76416015625,ok,
u_111122,"(4, 2)",6,auto,5,7,8,4,64,3,tanh,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,14.577794820070267,18.1064453125,ok,polarization_jet
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,4,64,3,tanh,float64,backward,13,2.7755575615628914e-17,1.3975284246997496e-15,15.21046832203865,19.63427734375,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,tanh,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,19.798023626208305,21.81689453125,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,4,64,3,tanh,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,19.990336149930954,21.81689453125,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,8,4,64,3,tanh,float64,backward,32,2.211772431870429e-17,8.352682800537476e-15,15.701653435826302,24.4716796875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,4,64,3,tanh,float64,backward,32,2.168404344971009e-17,8.18890470640929e-15,21.002626046538353,33.6201171875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,8,4,64,3,tanh,float64,backward,32,2.211772431870429e-17,8.352682800537476e-15,15.591967850923538,24.4716796875,ok,polarization_jet
u_11111111,"(8,)",8,polarization_jet,1,4,8,4,64,3,tanh,float64,backward,4,2.7755575615628914e-15,4.274958613213483e-15,22.789116948843002,17.865234375,ok,
u_11111111,"(8,)",8,waring_complex_jet,1,4,8,4,64,3,tanh,float64,backward,1,7.771561172376096e-16,1.1969884116997752e-15,30.57457134127617,18.22314453125,ok,
u_11111111,"(8,)",8,auto,1,4,8,4,64,3,tanh,float64,backward,1,7.771561172376096e-16,1.1969884116997752e-15,30.62771074473858,18.22314453125,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,4,64,3,tanh,float64,backward,40,2.706168622523819e-16,8.835501400101049e-15,28.018338605761528,31.7431640625,ok,
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,4,64,3,tanh,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,33.64565782248974,38.37060546875,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,4,64,3,tanh,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,33.69687497615814,38.37060546875,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,4,64,3,tanh,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,28.402164578437805,65.66748046875,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,4,64,3,tanh,float64,backward,128,5.182486384480711e-17,5.290330627289782e-14,37.398237735033035,116.63623046875,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,4,64,3,tanh,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,26.943912729620934,65.66748046875,ok,polarization_jet
