alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,direct_autodiff,1,3,8,4,64,3,float64,backward,,0.0,0.0,101.1377889662981,19.61279296875,ok,
u_111111,"(6,)",6,polarization_jet,1,3,8,4,64,3,float64,backward,3,2.7755575615628914e-16,1.6246598756659172e-15,14.453623443841934,17.22509765625,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,8,4,64,3,float64,backward,1,1.3877787807814457e-16,8.123299378329586e-16,18.27836222946644,17.05126953125,ok,
u_111111,"(6,)",6,auto,1,3,8,4,64,3,float64,backward,1,1.3877787807814457e-16,8.123299378329586e-16,18.123088404536247,17.05126953125,ok,waring_complex_jet
u_111122,"(4, 2)",6,direct_autodiff,5,7,8,4,64,3,float64,backward,,0.0,0.0,101.15939565002918,19.75,ok,
u_111122,"(4, 2)",6,polarization_jet,5,7,8,4,64,3,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,14.625804498791695,18.38037109375,ok,
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,4,64,3,float64,backward,5,2.42861286636753e-17,5.820465185922694e-16,18.57294701039791,19.09521484375,ok,
u_111122,"(4, 2)",6,auto,5,7,8,4,64,3,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,14.705313369631767,18.38037109375,ok,polarization_jet
u_112233,"(2, 2, 2)",6,direct_autodiff,9,13,8,4,64,3,float64,backward,,0.0,0.0,100.32100230455399,19.75,ok,
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,4,64,3,float64,backward,13,2.7755575615628914e-17,1.3975284246997496e-15,16.98305271565914,19.908203125,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,18.973715603351593,21.14794921875,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,4,64,3,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,18.992921337485313,21.14794921875,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,direct_autodiff,32,32,8,4,64,3,float64,backward,,0.0,0.0,100.58203898370266,19.75,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,8,4,64,3,float64,backward,32,2.211772431870429e-17,8.352682800537476e-15,18.49054917693138,24.74560546875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,4,64,3,float64,backward,32,2.168404344971009e-17,8.18890470640929e-15,21.676193922758102,32.951171875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,8,4,64,3,float64,backward,32,2.211772431870429e-17,8.352682800537476e-15,17.871906980872154,24.74560546875,ok,polarization_jet
u_11111111,"(8,)",8,direct_autodiff,1,4,8,4,64,3,float64,backward,,0.0,0.0,834.9601998925209,30.1376953125,ok,
u_11111111,"(8,)",8,polarization_jet,1,4,8,4,64,3,float64,backward,4,2.7755575615628914e-15,4.274958613213483e-15,24.8971339315176,18.13916015625,ok,
u_11111111,"(8,)",8,waring_complex_jet,1,4,8,4,64,3,float64,backward,1,7.771561172376096e-16,1.1969884116997752e-15,28.84155511856079,17.30419921875,ok,
u_11111111,"(8,)",8,auto,1,4,8,4,64,3,float64,backward,1,7.771561172376096e-16,1.1969884116997752e-15,29.0229432284832,17.30419921875,ok,waring_complex_jet
u_11112222,"(4, 4)",8,direct_autodiff,5,12,8,4,64,3,float64,backward,,0.0,0.0,833.7228689342737,30.1376953125,ok,
u_11112222,"(4, 4)",8,polarization_jet,5,12,8,4,64,3,float64,backward,12,8.326672684688674e-16,6.1767685002537236e-15,24.00747872889042,21.22314453125,ok,
u_11112222,"(4, 4)",8,waring_complex_jet,5,12,8,4,64,3,float64,backward,5,1.6653345369377348e-16,1.2353537000507446e-15,28.68770807981491,20.40380859375,ok,
u_11112222,"(4, 4)",8,auto,5,12,8,4,64,3,float64,backward,5,1.6653345369377348e-16,1.2353537000507446e-15,29.842501506209373,20.40380859375,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,direct_autodiff,27,40,8,4,64,3,float64,backward,,0.0,0.0,824.8548228293657,30.1376953125,ok,
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,4,64,3,float64,backward,40,2.706168622523819e-16,8.835501400101049e-15,27.140283957123756,32.01708984375,ok,
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,4,64,3,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,33.13715383410454,37.45166015625,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,4,64,3,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,32.145947217941284,37.45166015625,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,direct_autodiff,128,128,8,4,64,3,float64,backward,,0.0,0.0,831.7252341657877,30.13818359375,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,4,64,3,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,28.463006019592285,65.94140625,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,4,64,3,float64,backward,128,5.182486384480711e-17,5.290330627289782e-14,37.75354474782944,115.71728515625,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,4,64,3,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,27.565203607082367,65.94140625,ok,polarization_jet
