alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_1111111111,"(10,)",10,polarization_jet,1,5,10,2,64,3,float64,backward,5,5.329070518200751e-15,1.15415224048837e-15,34.142233431339264,17.67431640625,ok,
u_1111111111,"(10,)",10,waring_complex_jet,1,5,10,2,64,3,float64,backward,1,2.398081733190338e-14,5.193685082197665e-15,43.20967569947243,18.24169921875,ok,
u_1111111111,"(10,)",10,auto,1,5,10,2,64,3,float64,backward,1,2.398081733190338e-14,5.193685082197665e-15,42.93239116668701,18.24169921875,ok,waring_complex_jet
u_1111112222,"(6, 4)",10,polarization_jet,7,17,10,2,64,3,float64,backward,17,1.587618925213974e-14,2.6675690716841596e-14,35.20510345697403,20.9150390625,ok,
u_1111112222,"(6, 4)",10,waring_complex_jet,7,17,10,2,64,3,float64,backward,7,1.4432899320127035e-15,2.425062792440145e-15,43.31405460834503,21.49365234375,ok,
u_1111112222,"(6, 4)",10,auto,7,17,10,2,64,3,float64,backward,7,1.4432899320127035e-15,2.425062792440145e-15,43.21695119142532,21.49365234375,ok,waring_complex_jet
u_1122334455,"(2, 2, 2, 2, 2)",10,polarization_jet,81,121,10,2,64,3,float64,backward,121,1.942890293094024e-16,4.1710158968584944e-15,40.741175413131714,48.99365234375,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,waring_complex_jet,81,121,10,2,64,3,float64,backward,81,5.551115123125783e-17,1.1917188276738557e-15,48.149049282073975,61.5966796875,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,auto,81,121,10,2,64,3,float64,backward,81,5.551115123125783e-17,1.1917188276738557e-15,46.87996208667755,61.5966796875,ok,waring_complex_jet
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,polarization_jet,512,512,10,2,64,3,float64,backward,512,9.90960785651751e-17,1.0824766914600124e-13,48.56102913618088,154.56201171875,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,waring_complex_jet,512,512,10,2,64,3,float64,backward,512,3.3176586478056436e-17,3.624046691321267e-14,66.59199297428131,295.17138671875,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,auto,512,512,10,2,64,3,float64,backward,512,9.90960785651751e-17,1.0824766914600124e-13,43.24863478541374,154.56201171875,ok,polarization_jet
