alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,4,64,3,tanh,float64,backward,5,2.42861286636753e-17,5.820465185922694e-16,10.036535561084747,17.4716796875,ok,
u_111122,"(4, 2)",6,polarization_jet,5,7,8,4,64,3,tanh,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,9.36659425497055,17.0390625,ok,
u_111122,"(4, 2)",6,auto,5,7,8,4,64,3,tanh,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,9.342283010482788,17.0390625,ok,polarization_jet
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,tanh,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,10.76800748705864,18.291015625,ok,
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,4,64,3,tanh,float64,backward,13,2.7755575615628914e-17,1.3975284246997496e-15,10.277457535266876,17.6533203125,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,4,64,3,tanh,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,10.94379648566246,18.291015625,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,4,64,3,tanh,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,18.791932612657547,23.4521484375,ok,
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,4,64,3,tanh,float64,backward,40,2.706168622523819e-16,8.835501400101049e-15,17.413213849067688,21.509765625,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,4,64,3,tanh,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,20.437613129615784,23.4521484375,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,4,64,3,tanh,float64,backward,128,5.182486384480711e-17,5.290330627289782e-14,20.144563168287277,49.6533203125,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,4,64,3,tanh,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,17.27106049656868,32.92431640625,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,4,64,3,tanh,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,17.26948842406273,32.92431640625,ok,polarization_jet
