alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_1111111111,"(10,)",10,polarization_jet,1,5,10,2,64,3,tanh,float64,backward,5,3.730349362740526e-14,8.07906568341859e-15,16.307620331645012,16.77001953125,ok,
u_1111111111,"(10,)",10,waring_complex_jet,1,5,10,2,64,3,tanh,float64,backward,1,2.398081733190338e-14,5.193685082197665e-15,16.60841517150402,16.70751953125,ok,
u_1111111111,"(10,)",10,auto,1,5,10,2,64,3,tanh,float64,backward,5,3.730349362740526e-14,8.07906568341859e-15,16.27127267420292,16.7705078125,ok,polarization_jet
u_1111112222,"(6, 4)",10,polarization_jet,7,17,10,2,64,3,tanh,float64,backward,17,1.587618925213974e-14,2.6675690716841596e-14,16.40619896352291,17.84228515625,ok,
u_1111112222,"(6, 4)",10,waring_complex_jet,7,17,10,2,64,3,tanh,float64,backward,7,1.4432899320127035e-15,2.425062792440145e-15,16.52441918849945,17.70166015625,ok,
u_1111112222,"(6, 4)",10,auto,7,17,10,2,64,3,tanh,float64,backward,17,1.587618925213974e-14,2.6675690716841596e-14,16.35490357875824,17.84228515625,ok,polarization_jet
u_1122334455,"(2, 2, 2, 2, 2)",10,polarization_jet,81,121,10,2,64,3,tanh,float64,backward,121,1.942890293094024e-16,4.1710158968584944e-15,21.527381613850594,27.12890625,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,waring_complex_jet,81,121,10,2,64,3,tanh,float64,backward,81,5.551115123125783e-17,1.1917188276738557e-15,19.214941188693047,31.1875,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,auto,81,121,10,2,64,3,tanh,float64,backward,121,1.942890293094024e-16,4.1710158968584944e-15,18.04983615875244,27.12890625,ok,polarization_jet
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,polarization_jet,512,512,10,2,64,3,tanh,float64,backward,512,9.90960785651751e-17,1.0824766914600124e-13,24.57166649401188,62.04833984375,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,waring_complex_jet,512,512,10,2,64,3,tanh,float64,backward,512,3.3176586478056436e-17,3.624046691321267e-14,43.695200234651566,111.89794921875,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,auto,512,512,10,2,64,3,tanh,float64,backward,512,9.90960785651751e-17,1.0824766914600124e-13,21.249273791909218,62.04833984375,ok,polarization_jet
