alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,direct_autodiff,1,3,8,4,64,3,tanh,float64,value,,0.0,0.0,34.442756325006485,17.3271484375,ok,
u_111111,"(6,)",6,polarization_jet,1,3,8,4,64,3,tanh,float64,value,3,3.0531133177191805e-16,1.787125863232509e-15,4.739671945571899,16.91748046875,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,8,4,64,3,tanh,float64,value,1,1.3877787807814457e-16,8.123299378329586e-16,4.730861634016037,16.970703125,ok,
u_111111,"(6,)",6,auto,1,3,8,4,64,3,tanh,float64,value,1,1.3877787807814457e-16,8.123299378329586e-16,4.715051501989365,16.970703125,ok,waring_complex_jet
u_111122,"(4, 2)",6,direct_autodiff,5,7,8,4,64,3,tanh,float64,value,,0.0,0.0,34.565068781375885,17.32763671875,ok,
u_111122,"(4, 2)",6,polarization_jet,5,7,8,4,64,3,tanh,float64,value,7,9.020562075079397e-17,2.1618870690570006e-15,4.735730588436127,17.70849609375,ok,
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,4,64,3,tanh,float64,value,5,2.42861286636753e-17,5.820465185922694e-16,4.795767366886139,18.5537109375,ok,
u_111122,"(4, 2)",6,auto,5,7,8,4,64,3,tanh,float64,value,5,2.42861286636753e-17,5.820465185922694e-16,4.802808165550232,18.5537109375,ok,waring_complex_jet
u_112233,"(2, 2, 2)",6,direct_autodiff,9,13,8,4,64,3,tanh,float64,value,,0.0,0.0,35.515617579221725,17.32763671875,ok,
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,4,64,3,tanh,float64,value,13,2.7755575615628914e-17,1.3975284246997496e-15,4.807349294424057,18.89501953125,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,tanh,float64,value,9,2.0816681711721685e-17,1.0481463185248123e-15,4.841543734073639,20.1357421875,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,4,64,3,tanh,float64,value,9,2.0816681711721685e-17,1.0481463185248123e-15,4.941556602716446,20.1357421875,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,direct_autodiff,32,32,8,4,64,3,tanh,float64,value,,0.0,0.0,34.73631665110588,17.32763671875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,8,4,64,3,tanh,float64,value,32,2.211772431870429e-17,8.352682800537476e-15,4.804123193025589,22.6513671875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,4,64,3,tanh,float64,value,32,2.168404344971009e-17,8.18890470640929e-15,4.857171326875687,29.2333984375,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,8,4,64,3,tanh,float64,value,32,2.211772431870429e-17,8.352682800537476e-15,4.7976672649383545,22.6513671875,ok,polarization_jet
u_11111111,"(8,)",8,direct_autodiff,1,4,8,4,64,3,tanh,float64,value,,0.0,0.0,279.56610545516014,20.5888671875,ok,
u_11111111,"(8,)",8,polarization_jet,1,4,8,4,64,3,tanh,float64,value,4,2.3314683517128287e-15,3.5909652350993256e-15,7.311299443244934,17.3369140625,ok,
u_11111111,"(8,)",8,waring_complex_jet,1,4,8,4,64,3,tanh,float64,value,1,7.771561172376096e-16,1.1969884116997752e-15,6.8931616842746735,17.08251953125,ok,
u_11111111,"(8,)",8,auto,1,4,8,4,64,3,tanh,float64,value,1,7.771561172376096e-16,1.1969884116997752e-15,6.887495517730713,17.08251953125,ok,waring_complex_jet
u_11112222,"(4, 4)",8,direct_autodiff,5,12,8,4,64,3,tanh,float64,value,,0.0,0.0,279.37353774905205,20.5888671875,ok,
u_11112222,"(4, 4)",8,polarization_jet,5,12,8,4,64,3,tanh,float64,value,12,8.326672684688674e-16,6.1767685002537236e-15,7.353529334068298,19.36474609375,ok,
u_11112222,"(4, 4)",8,waring_complex_jet,5,12,8,4,64,3,tanh,float64,value,5,1.6653345369377348e-16,1.2353537000507446e-15,6.981793791055679,19.11083984375,ok,
u_11112222,"(4, 4)",8,auto,5,12,8,4,64,3,tanh,float64,value,5,1.6653345369377348e-16,1.2353537000507446e-15,6.98099285364151,19.11083984375,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,direct_autodiff,27,40,8,4,64,3,tanh,float64,value,,0.0,0.0,281.12731873989105,20.5888671875,ok,
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,4,64,3,tanh,float64,value,40,2.706168622523819e-16,8.835501400101049e-15,7.630947977304459,26.462890625,ok,
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,4,64,3,tanh,float64,value,27,6.938893903907228e-17,2.2655131795130896e-15,7.0898644626140594,30.26513671875,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,4,64,3,tanh,float64,value,27,6.938893903907228e-17,2.2655131795130896e-15,7.080409675836563,30.26513671875,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,direct_autodiff,128,128,8,4,64,3,tanh,float64,value,,0.0,0.0,277.74603292346,20.58935546875,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,4,64,3,tanh,float64,value,128,3.979021973021801e-17,4.061822887479812e-14,7.457926869392395,48.77294921875,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,4,64,3,tanh,float64,value,128,5.182486384480711e-17,5.290330627289782e-14,11.96981593966484,81.47705078125,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,4,64,3,tanh,float64,value,128,3.979021973021801e-17,4.061822887479812e-14,7.748521864414215,48.77294921875,ok,polarization_jet
