alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_1111111111,"(10,)",10,direct_autodiff,1,5,10,2,64,3,tanh,float64,value,,0.0,0.0,2469.3950582295656,26.70654296875,ok,
u_1111111111,"(10,)",10,polarization_jet,1,5,10,2,64,3,tanh,float64,value,5,3.730349362740526e-14,8.07906568341859e-15,12.205172330141068,17.10205078125,ok,
u_1111111111,"(10,)",10,waring_complex_jet,1,5,10,2,64,3,tanh,float64,value,1,2.398081733190338e-14,5.193685082197665e-15,9.34712029993534,16.8876953125,ok,
u_1111111111,"(10,)",10,auto,1,5,10,2,64,3,tanh,float64,value,1,2.398081733190338e-14,5.193685082197665e-15,9.314794093370438,16.8876953125,ok,waring_complex_jet
u_1111111122,"(8, 2)",10,direct_autodiff,9,13,10,2,64,3,tanh,float64,value,,0.0,0.0,2474.9135840684175,26.70703125,ok,
u_1111111122,"(8, 2)",10,polarization_jet,9,13,10,2,64,3,tanh,float64,value,13,6.661338147750939e-15,5.953028707969795e-15,12.07038201391697,18.34619140625,ok,
u_1111111122,"(8, 2)",10,waring_complex_jet,9,13,10,2,64,3,tanh,float64,value,9,4.440892098500626e-15,3.968685805313197e-15,9.465055540204048,19.375,ok,
u_1111111122,"(8, 2)",10,auto,9,13,10,2,64,3,tanh,float64,value,9,4.440892098500626e-15,3.968685805313197e-15,9.353455156087875,19.375,ok,waring_complex_jet
u_1111112222,"(6, 4)",10,direct_autodiff,7,17,10,2,64,3,tanh,float64,value,,0.0,0.0,2487.061880528927,26.70703125,ok,
u_1111112222,"(6, 4)",10,polarization_jet,7,17,10,2,64,3,tanh,float64,value,17,1.587618925213974e-14,2.6675690716841596e-14,12.09723949432373,18.96728515625,ok,
u_1111112222,"(6, 4)",10,waring_complex_jet,7,17,10,2,64,3,tanh,float64,value,7,1.4432899320127035e-15,2.425062792440145e-15,9.430747479200363,18.75439453125,ok,
u_1111112222,"(6, 4)",10,auto,7,17,10,2,64,3,tanh,float64,value,7,1.4432899320127035e-15,2.425062792440145e-15,9.359754621982574,18.75439453125,ok,waring_complex_jet
u_1111222333,"(4, 3, 3)",10,direct_autodiff,20,40,10,2,64,3,tanh,float64,value,,0.0,0.0,2480.0255820155144,26.70703125,ok,
u_1111222333,"(4, 3, 3)",10,polarization_jet,20,40,10,2,64,3,tanh,float64,value,40,5.551115123125783e-15,1.1971646350335459e-14,12.288307771086693,22.5419921875,ok,
u_1111222333,"(4, 3, 3)",10,waring_complex_jet,20,40,10,2,64,3,tanh,float64,value,20,1.6653345369377348e-16,3.5914939051006374e-16,9.464120492339134,22.794921875,ok,
u_1111222333,"(4, 3, 3)",10,auto,20,40,10,2,64,3,tanh,float64,value,20,1.6653345369377348e-16,3.5914939051006374e-16,9.47873666882515,22.794921875,ok,waring_complex_jet
u_1122334455,"(2, 2, 2, 2, 2)",10,direct_autodiff,81,121,10,2,64,3,tanh,float64,value,,0.0,0.0,2466.008825227618,26.70751953125,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,polarization_jet,81,121,10,2,64,3,tanh,float64,value,121,1.942890293094024e-16,4.1710158968584944e-15,12.409757822751999,35.1318359375,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,waring_complex_jet,81,121,10,2,64,3,tanh,float64,value,81,5.551115123125783e-17,1.1917188276738557e-15,9.686442092061043,42.0283203125,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,auto,81,121,10,2,64,3,tanh,float64,value,81,5.551115123125783e-17,1.1917188276738557e-15,9.958110749721527,42.0283203125,ok,waring_complex_jet
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,direct_autodiff,512,512,10,2,64,3,tanh,float64,value,,0.0,0.0,2462.5358413904905,26.71044921875,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,polarization_jet,512,512,10,2,64,3,tanh,float64,value,512,9.90960785651751e-17,1.0824766914600124e-13,14.62525874376297,95.91162109375,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,waring_complex_jet,512,512,10,2,64,3,tanh,float64,value,512,3.3176586478056436e-17,3.624046691321267e-14,27.074623852968216,183.06298828125,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,auto,512,512,10,2,64,3,tanh,float64,value,512,9.90960785651751e-17,1.0824766914600124e-13,14.620305970311165,97.91162109375,ok,polarization_jet
