alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,mc_K,mc_sigma
u_112,"(2, 1)",3,direct_autodiff,3,3,8,4,64,3,float64,value,,0.0,0.0,2.876780927181244,17.46435546875,ok,,
u_112,"(2, 1)",3,waring_complex_jet,3,3,8,4,64,3,float64,value,3,1.8214596497756474e-17,8.031129711922535e-16,2.817261964082718,17.62939453125,ok,,
u_112,"(2, 1)",3,gaussian_hermite_mc,3,3,8,4,64,3,float64,value,1024,27.885535374585213,1229.5213440895209,1.4304909855127335,31.23974609375,ok,1024,0.1
u_1122,"(2, 2)",4,direct_autodiff,3,4,8,4,64,3,float64,value,,0.0,0.0,5.80778531730175,17.71484375,ok,,
u_1122,"(2, 2)",4,waring_complex_jet,3,4,8,4,64,3,float64,value,3,2.42861286636753e-17,1.121202951881393e-15,3.744453191757202,18.38330078125,ok,,
u_1122,"(2, 2)",4,gaussian_hermite_mc,3,4,8,4,64,3,float64,value,1024,230.0637236055047,10621.212198926094,1.436946913599968,31.23974609375,ok,1024,0.1
u_112233,"(2, 2, 2)",6,direct_autodiff,9,13,8,4,64,3,float64,value,,0.0,0.0,35.001058131456375,17.71484375,ok,,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,float64,value,9,2.0816681711721685e-17,1.0481463185248123e-15,5.968758836388588,25.38623046875,ok,,
u_112233,"(2, 2, 2)",6,gaussian_hermite_mc,9,13,8,4,64,3,float64,value,1024,8249.757950251967,415385.77300763456,1.4458093792200089,31.23974609375,ok,1024,0.1
u_123456,"(1, 1, 1, 1, 1, 1)",6,direct_autodiff,32,32,8,4,64,3,float64,value,,0.0,0.0,34.863730892539024,17.71484375,ok,,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,4,64,3,float64,value,32,2.168404344971009e-17,8.18890470640929e-15,6.509453058242798,47.5576171875,ok,,
u_123456,"(1, 1, 1, 1, 1, 1)",6,gaussian_hermite_mc,32,32,8,4,64,3,float64,value,1024,20893.66925850313,7890422.601390007,1.4290641993284225,31.23974609375,ok,1024,0.1
