alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,polarization_jet,1,3,8,4,64,3,tanh,float64,backward,3,3.0531133177191805e-16,1.787125863232509e-15,7.257279008626938,16.6474609375,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,8,4,64,3,tanh,float64,backward,1,1.3877787807814457e-16,8.123299378329586e-16,8.533496409654617,16.7412109375,ok,
u_111111,"(6,)",6,auto,1,3,8,4,64,3,tanh,float64,backward,1,1.3877787807814457e-16,8.123299378329586e-16,8.518800139427185,16.7412109375,ok,waring_complex_jet
u_111122,"(4, 2)",6,polarization_jet,5,7,8,4,64,3,tanh,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,7.254581898450851,17.06494140625,ok,
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,4,64,3,tanh,float64,backward,5,2.42861286636753e-17,5.820465185922694e-16,8.788231760263443,17.6298828125,ok,
u_111122,"(4, 2)",6,auto,5,7,8,4,64,3,tanh,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,7.506728172302246,17.06494140625,ok,polarization_jet
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,4,64,3,tanh,float64,backward,13,2.7755575615628914e-17,1.3975284246997496e-15,7.976744323968887,17.701171875,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,tanh,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,9.316161274909973,18.5185546875,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,4,64,3,tanh,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,9.298298507928848,18.5185546875,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,8,4,64,3,tanh,float64,backward,32,2.211772431870429e-17,8.352682800537476e-15,8.243046700954437,19.71435546875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,4,64,3,tanh,float64,backward,32,2.168404344971009e-17,8.18890470640929e-15,10.688666254281998,23.62841796875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,8,4,64,3,tanh,float64,backward,32,2.211772431870429e-17,8.352682800537476e-15,8.05756077170372,19.71435546875,ok,polarization_jet
u_11111111,"(8,)",8,polarization_jet,1,4,8,4,64,3,tanh,float64,backward,4,2.3314683517128287e-15,3.5909652350993256e-15,10.923109948635101,16.857421875,ok,
u_11111111,"(8,)",8,waring_complex_jet,1,4,8,4,64,3,tanh,float64,backward,1,7.771561172376096e-16,1.1969884116997752e-15,12.421511113643646,16.8046875,ok,
u_11111111,"(8,)",8,auto,1,4,8,4,64,3,tanh,float64,backward,1,7.771561172376096e-16,1.1969884116997752e-15,12.257326394319534,16.8046875,ok,waring_complex_jet
u_11112222,"(4, 4)",8,polarization_jet,5,12,8,4,64,3,tanh,float64,backward,12,8.326672684688674e-16,6.1767685002537236e-15,10.886486619710922,17.92822265625,ok,
u_11112222,"(4, 4)",8,waring_complex_jet,5,12,8,4,64,3,tanh,float64,backward,5,1.6653345369377348e-16,1.2353537000507446e-15,12.572526931762695,17.947265625,ok,
u_11112222,"(4, 4)",8,auto,5,12,8,4,64,3,tanh,float64,backward,5,1.6653345369377348e-16,1.2353537000507446e-15,12.60906457901001,17.947265625,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,4,64,3,tanh,float64,backward,40,2.706168622523819e-16,8.835501400101049e-15,11.716485023498535,21.67578125,ok,
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,4,64,3,tanh,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,13.802740722894669,24.2314453125,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,4,64,3,tanh,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,13.646136969327927,24.2314453125,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,4,64,3,tanh,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,13.457883149385452,33.45556640625,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,4,64,3,tanh,float64,backward,128,5.182486384480711e-17,5.290330627289782e-14,23.892894387245178,53.1611328125,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,4,64,3,tanh,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,13.384193181991577,33.45556640625,ok,polarization_jet
