alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,activation,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,polarization_jet,1,3,8,4,64,3,tanh,float64,backward,3,2.7755575615628914e-16,1.6246598756659172e-15,8.199743926525116,16.62939453125,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,8,4,64,3,tanh,float64,backward,1,1.3877787807814457e-16,8.123299378329586e-16,10.172970592975616,16.77392578125,ok,
u_111111,"(6,)",6,auto,1,3,8,4,64,3,tanh,float64,backward,1,1.3877787807814457e-16,8.123299378329586e-16,10.021988302469254,16.77392578125,ok,waring_complex_jet
u_111122,"(4, 2)",6,polarization_jet,5,7,8,4,64,3,tanh,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,10.357338935136795,17.0390625,ok,
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,4,64,3,tanh,float64,backward,5,2.42861286636753e-17,5.820465185922694e-16,11.003255844116211,17.47216796875,ok,
u_111122,"(4, 2)",6,auto,5,7,8,4,64,3,tanh,float64,backward,7,9.020562075079397e-17,2.1618870690570006e-15,10.39649173617363,17.0390625,ok,polarization_jet
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,4,64,3,tanh,float64,backward,13,2.7755575615628914e-17,1.3975284246997496e-15,14.199476689100266,17.6533203125,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,4,64,3,tanh,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,14.546189457178116,18.291015625,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,4,64,3,tanh,float64,backward,9,2.0816681711721685e-17,1.0481463185248123e-15,15.097741037607193,18.291015625,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,8,4,64,3,tanh,float64,backward,32,2.211772431870429e-17,8.352682800537476e-15,14.919739216566086,19.59716796875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,4,64,3,tanh,float64,backward,32,2.168404344971009e-17,8.18890470640929e-15,16.69023185968399,22.9990234375,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,8,4,64,3,tanh,float64,backward,32,2.211772431870429e-17,8.352682800537476e-15,14.916621148586273,19.59716796875,ok,polarization_jet
u_11111111,"(8,)",8,polarization_jet,1,4,8,4,64,3,tanh,float64,backward,4,2.7755575615628914e-15,4.274958613213483e-15,12.235462665557861,16.8408203125,ok,
u_11111111,"(8,)",8,waring_complex_jet,1,4,8,4,64,3,tanh,float64,backward,1,7.771561172376096e-16,1.1969884116997752e-15,16.041554510593414,16.81298828125,ok,
u_11111111,"(8,)",8,auto,1,4,8,4,64,3,tanh,float64,backward,1,7.771561172376096e-16,1.1969884116997752e-15,16.626037657260895,16.81298828125,ok,waring_complex_jet
u_11112222,"(4, 4)",8,polarization_jet,5,12,8,4,64,3,tanh,float64,backward,12,8.326672684688674e-16,6.1767685002537236e-15,19.326739013195038,17.87841796875,ok,
u_11112222,"(4, 4)",8,waring_complex_jet,5,12,8,4,64,3,tanh,float64,backward,5,1.6653345369377348e-16,1.2353537000507446e-15,18.94434541463852,17.74560546875,ok,
u_11112222,"(4, 4)",8,auto,5,12,8,4,64,3,tanh,float64,backward,5,1.6653345369377348e-16,1.2353537000507446e-15,17.38061010837555,17.74560546875,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,4,64,3,tanh,float64,backward,40,2.706168622523819e-16,8.835501400101049e-15,19.780300557613373,21.509765625,ok,
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,4,64,3,tanh,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,20.252034068107605,23.4521484375,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,4,64,3,tanh,float64,backward,27,6.938893903907228e-17,2.2655131795130896e-15,19.67664808034897,23.4521484375,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,4,64,3,tanh,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,17.485953867435455,32.92431640625,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,4,64,3,tanh,float64,backward,128,5.182486384480711e-17,5.290330627289782e-14,20.06516605615616,49.6533203125,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,4,64,3,tanh,float64,backward,128,3.979021973021801e-17,4.061822887479812e-14,17.237160354852676,32.92431640625,ok,polarization_jet
