alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,direct_autodiff,1,3,8,8,64,3,float64,value,,0.0,0.0,34.39906798303127,18.142578125,ok,
u_111111,"(6,)",6,polarization_jet,1,3,8,8,64,3,float64,value,3,3.0531133177191805e-16,1.190813819924808e-15,5.877448245882988,19.3515625,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,8,8,64,3,float64,value,1,2.914335439641036e-16,1.1366859190191348e-15,5.624063313007355,18.3876953125,ok,
u_111111,"(6,)",6,auto,1,3,8,8,64,3,float64,value,1,2.914335439641036e-16,1.1366859190191348e-15,5.5598244071006775,18.3876953125,ok,waring_complex_jet
u_111122,"(4, 2)",6,direct_autodiff,5,7,8,8,64,3,float64,value,,0.0,0.0,34.344857558608055,18.14306640625,ok,
u_111122,"(4, 2)",6,polarization_jet,5,7,8,8,64,3,float64,value,7,1.1102230246251565e-16,1.559668558502947e-15,5.823444575071335,23.20703125,ok,
u_111122,"(4, 2)",6,waring_complex_jet,5,7,8,8,64,3,float64,value,5,2.949029909160572e-17,4.142869608523453e-16,5.645960569381714,26.10009765625,ok,
u_111122,"(4, 2)",6,auto,5,7,8,8,64,3,float64,value,7,1.1102230246251565e-16,1.559668558502947e-15,5.793511867523193,23.20703125,ok,polarization_jet
u_112233,"(2, 2, 2)",6,direct_autodiff,9,13,8,8,64,3,float64,value,,0.0,0.0,34.30520556867123,18.14306640625,ok,
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,8,8,64,3,float64,value,13,3.8163916471489756e-17,1.5976567638484254e-15,5.926936864852905,28.99072265625,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,8,8,64,3,float64,value,9,2.0816681711721685e-17,8.71449143917323e-16,5.785586312413216,33.8115234375,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,8,8,64,3,float64,value,9,2.0816681711721685e-17,8.71449143917323e-16,5.768807604908943,33.8115234375,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,direct_autodiff,32,32,8,8,64,3,float64,value,,0.0,0.0,34.36572104692459,18.14306640625,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,8,8,64,3,float64,value,32,2.211772431870429e-17,7.228622892037432e-15,7.127812132239342,47.30517578125,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,8,8,64,3,float64,value,32,2.168404344971009e-17,7.086885188271992e-15,8.222179487347603,78.15185546875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,8,8,64,3,float64,value,32,2.211772431870429e-17,7.228622892037432e-15,7.1007199585437775,47.30517578125,ok,polarization_jet
u_11111111,"(8,)",8,direct_autodiff,1,4,8,8,64,3,float64,value,,0.0,0.0,277.37927809357643,24.98779296875,ok,
u_11111111,"(8,)",8,polarization_jet,1,4,8,8,64,3,float64,value,4,6.439293542825908e-15,4.559593629971162e-15,9.013030678033829,22.3154296875,ok,
u_11111111,"(8,)",8,waring_complex_jet,1,4,8,8,64,3,float64,value,1,1.5543122344752192e-15,1.1005915658551082e-15,9.029664099216461,19.3876953125,ok,
u_11111111,"(8,)",8,auto,1,4,8,8,64,3,float64,value,1,1.5543122344752192e-15,1.1005915658551082e-15,9.03799757361412,19.3876953125,ok,waring_complex_jet
u_11112222,"(4, 4)",8,direct_autodiff,5,12,8,8,64,3,float64,value,,0.0,0.0,279.4494740664959,24.98779296875,ok,
u_11112222,"(4, 4)",8,polarization_jet,5,12,8,8,64,3,float64,value,12,8.326672684688674e-16,4.525636299569514e-15,9.408101439476013,34.02685546875,ok,
u_11112222,"(4, 4)",8,waring_complex_jet,5,12,8,8,64,3,float64,value,5,2.220446049250313e-16,1.2068363465518704e-15,8.951898664236069,31.10009765625,ok,
u_11112222,"(4, 4)",8,auto,5,12,8,8,64,3,float64,value,5,2.220446049250313e-16,1.2068363465518704e-15,8.975062519311905,31.10009765625,ok,waring_complex_jet
u_11223344,"(2, 2, 2, 2)",8,direct_autodiff,27,40,8,8,64,3,float64,value,,0.0,0.0,276.430606842041,24.98779296875,ok,
u_11223344,"(2, 2, 2, 2)",8,polarization_jet,27,40,8,8,64,3,float64,value,40,2.706168622523819e-16,8.835501400101049e-15,13.592002913355827,75.0166015625,ok,
u_11223344,"(2, 2, 2, 2)",8,waring_complex_jet,27,40,8,8,64,3,float64,value,27,6.938893903907228e-17,2.2655131795130896e-15,10.448511689901352,95.5126953125,ok,
u_11223344,"(2, 2, 2, 2)",8,auto,27,40,8,8,64,3,float64,value,27,6.938893903907228e-17,2.2655131795130896e-15,10.470589622855186,95.5126953125,ok,waring_complex_jet
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,direct_autodiff,128,128,8,8,64,3,float64,value,,0.0,0.0,276.18207037448883,24.98828125,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,polarization_jet,128,128,8,8,64,3,float64,value,128,8.944667923005412e-17,2.821180096893219e-14,14.234231784939766,203.84375,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,waring_complex_jet,128,128,8,8,64,3,float64,value,128,1.0245710529988017e-16,3.2315335655322325e-14,21.54598943889141,391.2294921875,ok,
u_12345678,"(1, 1, 1, 1, 1, 1, 1, 1)",8,auto,128,128,8,8,64,3,float64,value,128,8.944667923005412e-17,2.821180096893219e-14,14.337290078401566,203.84375,ok,polarization_jet
