alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_1111111111,"(10,)",10,direct_autodiff,1,5,10,2,64,3,float64,value,,0.0,0.0,2486.0754534602165,26.70654296875,ok,
u_1111111111,"(10,)",10,polarization_jet,1,5,10,2,64,3,float64,value,5,5.329070518200751e-15,1.15415224048837e-15,15.221849083900452,18.89794921875,ok,
u_1111111111,"(10,)",10,waring_complex_jet,1,5,10,2,64,3,float64,value,1,2.398081733190338e-14,5.193685082197665e-15,13.982098549604416,20.11767578125,ok,
u_1111111111,"(10,)",10,auto,1,5,10,2,64,3,float64,value,1,2.398081733190338e-14,5.193685082197665e-15,13.485141098499298,20.11767578125,ok,waring_complex_jet
u_1111111122,"(8, 2)",10,direct_autodiff,9,13,10,2,64,3,float64,value,,0.0,0.0,2474.148865789175,26.70703125,ok,
u_1111111122,"(8, 2)",10,polarization_jet,9,13,10,2,64,3,float64,value,13,6.661338147750939e-15,5.953028707969795e-15,15.05792886018753,23.01708984375,ok,
u_1111111122,"(8, 2)",10,waring_complex_jet,9,13,10,2,64,3,float64,value,9,4.440892098500626e-15,3.968685805313197e-15,13.962823897600174,28.3408203125,ok,
u_1111111122,"(8, 2)",10,auto,9,13,10,2,64,3,float64,value,9,4.440892098500626e-15,3.968685805313197e-15,13.886220753192902,28.3408203125,ok,waring_complex_jet
u_1111112222,"(6, 4)",10,direct_autodiff,7,17,10,2,64,3,float64,value,,0.0,0.0,2477.318525314331,26.70703125,ok,
u_1111112222,"(6, 4)",10,polarization_jet,7,17,10,2,64,3,float64,value,17,1.587618925213974e-14,2.6675690716841596e-14,15.002619475126266,25.07470703125,ok,
u_1111112222,"(6, 4)",10,waring_complex_jet,7,17,10,2,64,3,float64,value,7,1.4432899320127035e-15,2.425062792440145e-15,14.13704827427864,26.283203125,ok,
u_1111112222,"(6, 4)",10,auto,7,17,10,2,64,3,float64,value,7,1.4432899320127035e-15,2.425062792440145e-15,14.126729220151901,26.283203125,ok,waring_complex_jet
u_1111222333,"(4, 3, 3)",10,direct_autodiff,20,40,10,2,64,3,float64,value,,0.0,0.0,2476.157609373331,26.70703125,ok,
u_1111222333,"(4, 3, 3)",10,polarization_jet,20,40,10,2,64,3,float64,value,40,5.551115123125783e-15,1.1971646350335459e-14,15.669010579586029,36.91162109375,ok,
u_1111222333,"(4, 3, 3)",10,waring_complex_jet,20,40,10,2,64,3,float64,value,20,1.6653345369377348e-16,3.5914939051006374e-16,14.408878982067108,39.6640625,ok,
u_1111222333,"(4, 3, 3)",10,auto,20,40,10,2,64,3,float64,value,20,1.6653345369377348e-16,3.5914939051006374e-16,14.184176921844482,39.6640625,ok,waring_complex_jet
u_1122334455,"(2, 2, 2, 2, 2)",10,direct_autodiff,81,121,10,2,64,3,float64,value,,0.0,0.0,2475.7574684917927,26.70751953125,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,polarization_jet,81,121,10,2,64,3,float64,value,121,1.942890293094024e-16,4.1710158968584944e-15,17.42759719491005,78.599609375,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,waring_complex_jet,81,121,10,2,64,3,float64,value,81,5.551115123125783e-17,1.1917188276738557e-15,16.60459116101265,102.455078125,ok,
u_1122334455,"(2, 2, 2, 2, 2)",10,auto,81,121,10,2,64,3,float64,value,81,5.551115123125783e-17,1.1917188276738557e-15,16.888052225112915,102.455078125,ok,waring_complex_jet
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,direct_autodiff,512,512,10,2,64,3,float64,value,,0.0,0.0,2484.3066073954105,26.71044921875,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,polarization_jet,512,512,10,2,64,3,float64,value,512,9.90960785651751e-17,1.0824766914600124e-13,23.316770792007446,279.84130859375,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,waring_complex_jet,512,512,10,2,64,3,float64,value,512,3.3176586478056436e-17,3.624046691321267e-14,31.817857176065445,546.109375,ok,
u_12345678910,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",10,auto,512,512,10,2,64,3,float64,value,512,9.90960785651751e-17,1.0824766914600124e-13,23.391149938106537,279.84130859375,ok,polarization_jet
