step,method,alpha,loss,residual_loss,data_loss,val_rel_l2,step_ms_backward_only,wall_time,peak_alloc_mb
1,waring_complex_jet,111122,0.14972934126853943,0.007080930285155773,0.14264841377735138,70.11467742919922,48.85866865515709,0.1469014622271061,23.58935546875
8,waring_complex_jet,111122,0.04686478525400162,0.004230751655995846,0.0426340326666832,38.04161071777344,9.621929377317429,0.2554171793162823,23.60302734375
16,waring_complex_jet,111122,0.009047121740877628,0.0018594658467918634,0.0071876561269164085,16.584041595458984,9.583994746208191,0.3782230541110039,23.60302734375
24,waring_complex_jet,111122,0.00685835350304842,0.0022513235453516245,0.004607030190527439,13.769675254821777,9.555112570524216,0.500586498528719,23.60302734375
32,waring_complex_jet,111122,0.004079595673829317,0.0008965544402599335,0.0031830412335693836,10.489625930786133,9.549003094434738,0.6226839274168015,23.60302734375
40,waring_complex_jet,111122,0.0022503244690597057,0.000699547934345901,0.0015507766511291265,8.911161422729492,9.409893304109573,0.744697093963623,23.60302734375
48,waring_complex_jet,111122,0.0018234576564282179,0.0007796459249220788,0.0010438116732984781,7.240792751312256,9.465973824262619,0.8664427772164345,23.60302734375
56,waring_complex_jet,111122,0.0013061044737696648,0.0005048164166510105,0.0008012880571186543,6.122683525085449,9.487070143222809,0.9886732771992683,23.60302734375
64,waring_complex_jet,111122,0.001154623576439917,0.0005665314383804798,0.0005880921380594373,6.190317153930664,9.508196264505386,1.1113793924450874,23.60302734375
72,waring_complex_jet,111122,0.0010162190301343799,0.0003204957756679505,0.0006957232253625989,6.216156005859375,9.472392499446869,1.2347329035401344,23.60302734375
80,waring_complex_jet,111122,0.0007539105135947466,0.0003615461173467338,0.0003923643671441823,5.895481109619141,9.410113096237183,1.3569161631166935,23.60302734375
