alpha,active_exponents,order,method,complex_rank,polarization_dirs,d,batch,hidden,depth,dtype,measure,dirs,abs_err,rel_err,median_ms,peak_alloc_mb,status,selected_backend
u_111111,"(6,)",6,direct_autodiff,1,3,6,2,16,2,float64,value,,0.0,0.0,18.28022301197052,17.265625,ok,
u_111111,"(6,)",6,polarization_jet,1,3,6,2,16,2,float64,value,3,7.993605777301127e-15,1.3110372430179611e-15,4.268813878297806,16.4345703125,ok,
u_111111,"(6,)",6,waring_complex_jet,1,3,6,2,16,2,float64,value,1,4.884981308350689e-15,8.011894262887541e-16,4.082951694726944,16.353515625,ok,
u_111111,"(6,)",6,auto,1,3,6,2,16,2,float64,value,1,4.884981308350689e-15,8.011894262887541e-16,3.9299167692661285,16.353515625,ok,waring_complex_jet
u_112233,"(2, 2, 2)",6,direct_autodiff,9,13,6,2,16,2,float64,value,,0.0,0.0,18.33464577794075,17.26611328125,ok,
u_112233,"(2, 2, 2)",6,polarization_jet,9,13,6,2,16,2,float64,value,13,4.163336342344337e-16,3.0628901589710666e-15,4.26868349313736,16.849609375,ok,
u_112233,"(2, 2, 2)",6,waring_complex_jet,9,13,6,2,16,2,float64,value,9,7.494005416219807e-16,5.51320228614792e-15,3.9531663060188293,17.01708984375,ok,
u_112233,"(2, 2, 2)",6,auto,9,13,6,2,16,2,float64,value,9,7.494005416219807e-16,5.51320228614792e-15,3.973882645368576,17.01708984375,ok,waring_complex_jet
u_123456,"(1, 1, 1, 1, 1, 1)",6,direct_autodiff,32,32,6,2,16,2,float64,value,,0.0,0.0,18.031302839517593,17.26611328125,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,polarization_jet,32,32,6,2,16,2,float64,value,32,1.0408340855860843e-16,1.5871195262281335e-15,4.105526953935623,17.59716796875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,waring_complex_jet,32,32,6,2,16,2,float64,value,32,1.3877787807814457e-16,2.116159368304178e-15,4.2521171271800995,18.92919921875,ok,
u_123456,"(1, 1, 1, 1, 1, 1)",6,auto,32,32,6,2,16,2,float64,value,32,1.0408340855860843e-16,1.5871195262281335e-15,4.0745362639427185,17.59716796875,ok,polarization_jet
