panel,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
chirp_a2,complex_sinh,0.000000,8.3135710446e-03,6.3093981800e-03,8.6474277049e-03,8.3135710446e-03,6.3093981800e-03,8.6474277049e-03,5
chirp_a2,complex_sinh,3.352235,8.3135710446e-03,6.3093981800e-03,8.6474277049e-03,8.3135710446e-03,6.3093981800e-03,8.6474277049e-03,5
chirp_a2,complex_sinh,6.704469,8.3135710446e-03,6.3093981800e-03,8.6474277049e-03,8.3135710446e-03,6.3093981800e-03,8.6474277049e-03,5
chirp_a2,complex_sinh,10.056704,5.2225318285e-03,4.9249970005e-03,5.6415063969e-03,5.2225318285e-03,4.9249970005e-03,5.6415063969e-03,5
chirp_a2,complex_sinh,13.408939,3.2365975839e-03,3.0392196139e-03,3.4560861652e-03,3.2365975839e-03,3.0392196139e-03,3.4560861652e-03,5
chirp_a2,complex_sinh,16.761173,2.3419938614e-03,2.3117692211e-03,2.5500557384e-03,2.3419938614e-03,2.3117692211e-03,2.5500557384e-03,5
chirp_a2,complex_sinh,20.113408,1.9776026635e-03,1.8749372126e-03,2.0384686945e-03,1.9776026635e-03,1.8749372126e-03,2.0384686945e-03,5
chirp_a2,complex_sinh,23.465642,1.7302636882e-03,1.6983864388e-03,1.8446114782e-03,1.6983864388e-03,1.6905040863e-03,1.7302636882e-03,5
chirp_a2,complex_sinh,26.817877,1.5441715790e-03,1.4656173037e-03,1.6901909358e-03,1.5441715790e-03,1.4656173037e-03,1.6901909358e-03,5
chirp_a2,complex_sinh,30.170112,1.3900133524e-03,1.2861981707e-03,1.5037542199e-03,1.3900133524e-03,1.2861981707e-03,1.5037542199e-03,5
chirp_a2,complex_sinh,33.522346,1.2697571751e-03,1.1601310017e-03,1.4163963631e-03,1.2439272115e-03,1.1601310017e-03,1.2697571751e-03,5
chirp_a2,complex_sinh,36.874581,1.0518403899e-03,1.0243054911e-03,1.3071939234e-03,1.0518403899e-03,1.0243054911e-03,1.1828464643e-03,5
chirp_a2,complex_sinh,40.226816,9.7143966634e-04,9.4706401254e-04,1.1273432643e-03,9.7143966634e-04,9.4706401254e-04,1.1273432643e-03,5
chirp_a2,complex_sinh,43.579050,9.3329245372e-04,8.8027682728e-04,9.8873035823e-04,9.0136666097e-04,8.7784234370e-04,9.3329245372e-04,5
chirp_a2,complex_sinh,46.931285,9.6002532006e-04,8.5160800717e-04,1.7089602844e-03,8.7784234370e-04,8.5160800717e-04,9.0136666097e-04,5
chirp_a2,complex_sinh,50.283520,9.4812682659e-04,7.7707281890e-04,1.0469986107e-03,8.7784234370e-04,7.7707281890e-04,9.0136666097e-04,5
chirp_a2,complex_sinh,53.635754,8.8397893476e-04,8.6022087767e-04,1.4806296585e-03,7.8874402302e-04,7.7086662647e-04,8.2921475037e-04,5
chirp_a2,complex_sinh,56.987989,8.1962782339e-04,7.1549821201e-04,1.1439876046e-03,7.5567702825e-04,6.9629295378e-04,7.7086662647e-04,5
chirp_a2,complex_sinh,60.340223,7.0323467403e-04,6.4388358596e-04,8.2914565530e-04,7.0323467403e-04,6.4388358596e-04,7.0456521187e-04,5
chirp_a2,complex_sinh,63.692458,6.5932075072e-04,6.0817686180e-04,8.2812410378e-04,6.2603705301e-04,6.0817686180e-04,6.5932075072e-04,5
chirp_a2,complex_sinh,67.044693,5.7579621738e-04,5.7571048098e-04,6.2406889840e-04,5.7579621738e-04,5.7571048098e-04,6.2406889840e-04,5
chirp_a2,complex_sinh,70.396927,5.4610540291e-04,5.4146640887e-04,5.9484142126e-04,5.4610540291e-04,5.4146640887e-04,5.9484142126e-04,5
chirp_a2,complex_sinh,73.749162,5.6827103379e-04,5.6815053301e-04,7.1854084739e-04,5.2748306690e-04,5.2370217221e-04,5.6815053301e-04,5
chirp_a2,complex_sinh,77.101397,7.2191781370e-04,6.7937978278e-04,8.2521485551e-04,5.2748306690e-04,5.2370217221e-04,5.4422380332e-04,5
chirp_a2,complex_sinh,80.453631,7.1163968990e-04,7.0179526680e-04,9.1983118750e-04,5.2338240414e-04,5.1177245191e-04,5.2708152537e-04,5
chirp_a2,complex_sinh,83.805866,6.2871408679e-04,5.7380833656e-04,7.8997486041e-04,5.0008784521e-04,4.7464388386e-04,5.2708152537e-04,5
chirp_a2,complex_sinh,87.158101,5.3550504310e-04,4.7814739834e-04,6.7062276600e-04,4.7783007404e-04,4.4519297252e-04,5.2398345659e-04,5
chirp_a2,complex_sinh,90.510335,6.9446463183e-04,4.5495554209e-04,1.8423968440e-03,4.5495554209e-04,4.4519297252e-04,4.9261296028e-04,5
chirp_a2,complex_sinh,93.862570,4.7320863956e-04,4.3317518642e-04,6.3387379347e-03,4.4519297252e-04,4.3317518642e-04,4.6312059203e-04,5
chirp_a2,complex_sinh,97.214804,1.2713527362e-03,4.4528016443e-04,1.7139736849e-03,4.1658855440e-04,4.0917609676e-04,4.4528016443e-04,5
chirp_a2,complex_sinh,100.567039,4.5663122475e-04,4.2881727529e-04,6.4392305932e-04,4.0147106644e-04,3.7588812968e-04,4.2881727529e-04,5
chirp_a2,complex_sinh,103.919274,4.1426732324e-04,3.8823752238e-04,4.8951418952e-04,3.8823752238e-04,3.5666760783e-04,4.1426732324e-04,5
chirp_a2,complex_sinh,107.271508,4.0056993833e-04,3.7611715186e-04,4.4845110355e-04,3.7611715186e-04,3.4047916185e-04,4.0056993833e-04,5
chirp_a2,complex_sinh,110.623743,3.8757918179e-04,3.2683965905e-04,4.2968856829e-04,3.7002320985e-04,3.2683965905e-04,3.8757918179e-04,5
chirp_a2,complex_sinh,113.975978,3.7515680678e-04,3.1452807456e-04,5.8482632105e-04,3.7002320985e-04,3.1452807456e-04,3.7515680678e-04,5
chirp_a2,complex_sinh,117.328212,6.7871767210e-04,6.0141329557e-04,6.9545859557e-04,3.6859068564e-04,3.0900387044e-04,3.7002320985e-04,5
chirp_a2,complex_sinh,120.680447,1.7264280697e-03,1.0397768952e-03,2.0712245782e-03,3.6859068564e-04,3.0900387044e-04,3.7002320985e-04,5
chirp_a2,complex_sinh,124.032682,1.3823229885e-03,5.3740130728e-04,2.7444510396e-03,3.6384943847e-04,3.0563634250e-04,3.6916941101e-04,5
chirp_a2,complex_sinh,127.384916,6.4922245137e-04,4.3942934756e-04,7.7568704127e-04,3.4800354420e-04,3.0161592585e-04,3.6311980037e-04,5
chirp_a2,complex_sinh,130.737151,3.5931835089e-04,3.3343912811e-04,4.4678462199e-04,3.3343912811e-04,3.0161592585e-04,3.5716932521e-04,5
chirp_a2,complex_sinh,134.089385,3.4597458631e-04,3.2354431038e-04,8.1242033233e-04,3.2354431038e-04,3.0161592585e-04,3.4597458631e-04,5
chirp_a2,complex_sinh,137.441620,3.3495844182e-04,3.1394312171e-04,1.3822034310e-03,3.1394312171e-04,3.0039028097e-04,3.3495844182e-04,5
chirp_a2,complex_sinh,140.793855,7.2117130181e-04,4.8422045719e-04,1.1754209079e-03,3.1358114613e-04,2.9040135375e-04,3.2598655826e-04,5
chirp_a2,complex_sinh,144.146089,3.7627460250e-04,3.1767916595e-04,8.4462752133e-04,3.1358114613e-04,2.8074458997e-04,3.1767916595e-04,5
chirp_a2,complex_sinh,147.498324,3.4325838990e-04,3.1019622838e-04,5.1510205194e-04,3.0628470015e-04,2.6621423860e-04,3.1019622838e-04,5
