task_id,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
poly_d2_o4,complex_sinh,0.000000,9.8014568573e-01,9.7185815484e-01,9.9163730105e-01,9.8014568573e-01,9.7185815484e-01,9.9163730105e-01,5
poly_d2_o4,complex_sinh,6.704983,9.6856996861e-01,9.5632923186e-01,9.8474119326e-01,9.6856996861e-01,9.5632923186e-01,9.8474119326e-01,5
poly_d2_o4,complex_sinh,13.409966,8.7418416571e-01,8.4656890058e-01,9.5525356197e-01,8.7418416571e-01,8.4656890058e-01,9.5525356197e-01,5
poly_d2_o4,complex_sinh,20.114950,6.1437076956e-01,4.7171694537e-01,8.4590496092e-01,6.1437076956e-01,4.7171694537e-01,8.4590496092e-01,5
poly_d2_o4,complex_sinh,26.819933,3.1949911649e-01,2.3304828210e-01,6.3834699273e-01,3.1949911649e-01,2.3304828210e-01,6.3834699273e-01,5
poly_d2_o4,complex_sinh,33.524916,2.1506822178e-01,1.5928326853e-01,4.2200786578e-01,1.8800194210e-01,1.5928326853e-01,4.2200786578e-01,5
poly_d2_o4,complex_sinh,40.229899,1.3165577297e-01,1.2172538530e-01,2.6680006801e-01,1.3165577297e-01,1.2172538530e-01,2.6680006801e-01,5
poly_d2_o4,complex_sinh,46.934883,9.2957725691e-02,9.1798572819e-02,2.5765526253e-01,9.1798572819e-02,8.9647306921e-02,2.1272353666e-01,5
poly_d2_o4,complex_sinh,53.639866,1.1522467308e-01,1.0004012820e-01,1.7632762073e-01,8.9647306921e-02,8.4176761714e-02,1.7632762073e-01,5
poly_d2_o4,complex_sinh,60.344849,1.2634942723e-01,7.2047611241e-02,1.5138656612e-01,8.9647306921e-02,7.2047611241e-02,1.5138656612e-01,5
poly_d2_o4,complex_sinh,67.049832,1.0751331081e-01,6.1717264913e-02,1.4567104868e-01,8.9647306921e-02,6.1717264913e-02,1.4124636301e-01,5
poly_d2_o4,complex_sinh,73.754816,9.8310976122e-02,5.7800217506e-02,1.1446023334e-01,8.9647306921e-02,5.7800217506e-02,1.1446023334e-01,5
poly_d2_o4,complex_sinh,80.459799,9.7770745431e-02,5.6589652661e-02,1.0362808096e-01,8.9647306921e-02,5.6589652661e-02,1.0028479125e-01,5
poly_d2_o4,complex_sinh,87.164782,8.6908920287e-02,8.2664703666e-02,9.6239545294e-02,8.2414302509e-02,5.6457206160e-02,8.9647306921e-02,5
poly_d2_o4,complex_sinh,93.869765,7.7269929195e-02,6.6058907227e-02,1.1276975113e-01,6.6058907227e-02,5.6065317256e-02,8.9647306921e-02,5
poly_d2_o4,complex_sinh,100.574749,5.7032310433e-02,5.5658954188e-02,1.1169641964e-01,5.7032310433e-02,5.5279938009e-02,8.9647306921e-02,5
poly_d2_o4,complex_sinh,107.279732,8.6779793827e-02,5.9825735031e-02,9.3102307577e-02,5.5513121967e-02,5.5279938009e-02,8.9647306921e-02,5
poly_d2_o4,complex_sinh,113.984715,7.4790095025e-02,5.7759293373e-02,9.4798724601e-02,5.5279938009e-02,4.6023650860e-02,8.9647306921e-02,5
poly_d2_o4,complex_sinh,120.689698,5.5307046878e-02,4.7931988013e-02,9.1490500106e-02,5.5062379439e-02,4.3810743488e-02,8.9647306921e-02,5
poly_d2_o4,complex_sinh,127.394682,5.7368250679e-02,5.5105919238e-02,8.9580717969e-02,5.5020344326e-02,4.3810743488e-02,8.9496060814e-02,5
poly_d2_o4,complex_sinh,134.099665,5.5206041334e-02,5.4188615761e-02,8.8745718475e-02,5.5020344326e-02,4.3810743488e-02,8.8611435574e-02,5
poly_d2_o4,complex_sinh,140.804648,5.5211510712e-02,4.5941970224e-02,8.7551830224e-02,5.5020344326e-02,4.3810743488e-02,8.7551830224e-02,5
poly_d2_o4,complex_sinh,147.509631,8.2564554763e-02,4.5909958767e-02,8.6826692962e-02,5.4862588061e-02,4.3810743488e-02,8.6826692962e-02,5
poly_d2_o4,complex_sinh,154.214615,5.4172807728e-02,5.1959335669e-02,8.4843721973e-02,5.4172807728e-02,4.3810743488e-02,8.4843721973e-02,5
poly_d2_o4,complex_sinh,160.919598,5.3008277172e-02,4.6736910162e-02,8.4652981122e-02,5.3008277172e-02,4.3810743488e-02,8.4238476182e-02,5
poly_d2_o4,complex_sinh,167.624581,5.3151944620e-02,4.9786198817e-02,8.5450956968e-02,5.2956289309e-02,4.3810743488e-02,8.3966190530e-02,5
poly_d2_o4,complex_sinh,174.329564,6.6424617743e-02,6.5920772648e-02,8.1657455921e-02,5.2956289309e-02,4.3810743488e-02,8.1657455921e-02,5
poly_d2_o4,complex_sinh,181.034547,5.2757260662e-02,4.9661527563e-02,8.1621183307e-02,5.2478836026e-02,4.3810743488e-02,8.1030870961e-02,5
poly_d2_o4,complex_sinh,187.739531,5.0833754284e-02,4.7679046088e-02,8.2011017457e-02,5.0833754284e-02,4.3810743488e-02,8.0011468491e-02,5
poly_d2_o4,complex_sinh,194.444514,6.4591075108e-02,5.0566222739e-02,7.9427465918e-02,5.0566222739e-02,4.3810743488e-02,7.9405845512e-02,5
poly_d2_o4,complex_sinh,201.149497,5.4574875178e-02,4.7573429074e-02,8.0581839615e-02,5.0305888350e-02,4.3810743488e-02,7.9405845512e-02,5
poly_d2_o4,complex_sinh,207.854480,5.1176365557e-02,4.9694705967e-02,7.9117051972e-02,4.8238799392e-02,4.3810743488e-02,7.8724234292e-02,5
poly_d2_o4,complex_sinh,214.559464,4.8900044858e-02,4.7531473461e-02,7.6905205113e-02,4.7525687057e-02,4.3810743488e-02,7.6905205113e-02,5
poly_d2_o4,complex_sinh,221.264447,4.7656945804e-02,4.7202260062e-02,7.8336076563e-02,4.7452196723e-02,4.3810743488e-02,7.5988403293e-02,5
poly_d2_o4,complex_sinh,227.969430,5.0272020281e-02,4.6371659105e-02,7.4433812342e-02,4.7376491599e-02,4.3810743488e-02,7.4146057927e-02,5
poly_d2_o4,complex_sinh,234.674413,5.0619271312e-02,4.5799274063e-02,7.6776838866e-02,4.5627488266e-02,4.3810743488e-02,7.4009048184e-02,5
poly_d2_o4,complex_sinh,241.379397,4.7518348905e-02,4.5985485556e-02,7.5321476314e-02,4.5627488266e-02,4.3810743488e-02,7.4009048184e-02,5
poly_d2_o4,complex_sinh,248.084380,4.5402632521e-02,4.5030892527e-02,7.4142825069e-02,4.5402522062e-02,4.3810743488e-02,7.4006546033e-02,5
poly_d2_o4,complex_sinh,254.789363,4.6512025394e-02,4.6400166506e-02,7.3500478922e-02,4.5065334452e-02,4.3810743488e-02,7.3500478922e-02,5
poly_d2_o4,complex_sinh,261.494346,4.4722236078e-02,4.3792260450e-02,7.1687503374e-02,4.3810743488e-02,4.3792260450e-02,7.1687503374e-02,5
poly_d2_o4,complex_sinh,268.199330,4.5801380593e-02,4.3047538046e-02,7.1460073146e-02,4.3810743488e-02,4.3047538046e-02,7.1341155936e-02,5
poly_d2_o4,complex_sinh,274.904313,4.5431282729e-02,4.2354887761e-02,7.0707375276e-02,4.3810743488e-02,4.2354887761e-02,7.0707375276e-02,5
poly_d2_o4,complex_sinh,281.609296,4.4029370440e-02,4.1341477920e-02,6.9510136454e-02,4.3810743488e-02,4.1341477920e-02,6.9510136454e-02,5
poly_d2_o4,complex_sinh,288.314279,4.3471183743e-02,4.2024276813e-02,6.9151011332e-02,4.3458216678e-02,4.1241323528e-02,6.8506641445e-02,5
poly_d2_o4,complex_sinh,295.019263,4.2869151471e-02,4.1223060292e-02,6.8445371997e-02,4.2857187178e-02,4.0567905025e-02,6.8075536248e-02,5
poly_d2_o4,complex_sinh,301.724246,4.8634504352e-02,3.9583319082e-02,6.6722430898e-02,4.2600899877e-02,3.9577670298e-02,6.6722430898e-02,5
poly_d2_o4,complex_sinh,308.429229,4.3546699298e-02,3.9460571324e-02,6.5570435085e-02,4.2600899877e-02,3.9242928434e-02,6.5570435085e-02,5
poly_d2_o4,complex_sinh,315.134212,4.3070019039e-02,3.8614737318e-02,6.4316156323e-02,4.2600899877e-02,3.8614737318e-02,6.4316156323e-02,5
poly_d2_o4,complex_sinh,321.839196,4.2267265252e-02,3.9056169468e-02,6.1993837050e-02,4.1623580954e-02,3.8579968959e-02,6.1993837050e-02,5
poly_d2_o4,complex_sinh,328.544179,4.3730614390e-02,3.8758341260e-02,6.3661041805e-02,4.1623580954e-02,3.8094879718e-02,6.1750117220e-02,5
poly_d2_o4,complex_sinh,335.249162,4.1727705797e-02,3.6213073848e-02,6.1530501979e-02,4.1623580954e-02,3.6213073848e-02,6.1209755248e-02,5
poly_d2_o4,complex_sinh,341.954145,4.2751102909e-02,3.8263793308e-02,6.3620877610e-02,4.1295703347e-02,3.6058943324e-02,6.1209755248e-02,5
poly_d2_o4,complex_sinh,348.659128,4.0404466984e-02,3.8281150020e-02,6.1686054011e-02,4.0404466984e-02,3.6058943324e-02,6.1209755248e-02,5
poly_d2_o4,complex_sinh,355.364112,4.1766146130e-02,3.5332180052e-02,5.9789280015e-02,4.0301789876e-02,3.5332180052e-02,5.9789280015e-02,5
poly_d2_o4,complex_sinh,362.069095,4.0179466792e-02,3.4533154903e-02,5.8147703374e-02,3.9641598469e-02,3.4533154903e-02,5.8147703374e-02,5
poly_d2_o4,complex_sinh,368.774078,3.9276618618e-02,3.7898239449e-02,5.5694946791e-02,3.8914936882e-02,3.4410574879e-02,5.5694946791e-02,5
poly_d2_o4,complex_sinh,375.479061,3.8879849349e-02,3.4144243635e-02,5.5836858714e-02,3.8773549985e-02,3.3990024341e-02,5.5660454532e-02,5
poly_d2_o4,complex_sinh,382.184045,3.7859449034e-02,3.2451367475e-02,5.3910748628e-02,3.7859449034e-02,3.1920432537e-02,5.3910748628e-02,5
poly_d2_o4,complex_sinh,388.889028,3.8169184852e-02,3.3090346162e-02,5.4615932845e-02,3.7576699901e-02,3.1920432537e-02,5.3362073401e-02,5
poly_d2_o4,complex_sinh,395.594011,3.8059238063e-02,3.3800715720e-02,5.4924380235e-02,3.7576699901e-02,3.1920432537e-02,5.0938321623e-02,5
poly_d2_o4,complex_sinh,402.298994,3.8929754811e-02,3.2644780589e-02,4.8800048473e-02,3.7576699901e-02,3.1789036417e-02,4.8777946688e-02,5
poly_d2_o4,complex_sinh,409.003978,3.7825470092e-02,3.1054748861e-02,4.7201425959e-02,3.7534980630e-02,3.1054748861e-02,4.7201425959e-02,5
poly_d2_o4,complex_sinh,415.708961,3.6885933807e-02,3.0913753997e-02,4.6211150577e-02,3.6885933807e-02,3.0808260950e-02,4.6211150577e-02,5
