task_id,variant,time_s,median_rel_error,q25_rel_error,q75_rel_error
poly_d2_o4,complex_sinh,0.000000,1.4984292974e-01,1.4320941403e-01,2.0688450132e-01
poly_d2_o4,complex_sinh,10.000350,9.0786059607e-02,8.9094702265e-02,1.0526749936e-01
poly_d2_o4,complex_sinh,20.000700,1.5556119074e-02,1.3752876538e-02,2.7742128234e-02
poly_d2_o4,complex_sinh,30.001050,9.6443372718e-03,9.2467683342e-03,1.6402737690e-02
poly_d2_o4,complex_sinh,40.001400,1.3910003738e-02,1.3411731870e-02,1.8777501327e-02
poly_d2_o4,complex_sinh,50.001750,6.7231083341e-03,6.3928562855e-03,7.3847900007e-03
poly_d2_o4,complex_sinh,60.002100,6.7881525413e-03,5.8889856073e-03,1.8319402652e-02
poly_d2_o4,complex_sinh,70.002450,1.2098073776e-02,7.0016537772e-03,1.4181529884e-02
poly_d2_o4,complex_sinh,80.002800,6.4818788216e-03,5.0360071161e-03,1.1419485983e-02
poly_d2_o4,complex_sinh,90.003150,3.9332059803e-03,3.2653980527e-03,4.3032708580e-03
poly_d2_o4,complex_sinh,100.003500,4.0151670790e-03,3.5112140252e-03,1.0517915447e-02
poly_d2_o4,complex_sinh,110.003850,3.7493176259e-03,3.2734588761e-03,9.9245323186e-03
poly_d2_o4,complex_sinh,120.004200,2.7312537771e-03,2.7078868977e-03,3.6712285802e-03
poly_d2_o4,complex_sinh,130.004550,2.9355413573e-03,2.6702595609e-03,5.5191375721e-03
poly_d2_o4,complex_sinh,140.004900,2.7474719342e-03,2.5229458240e-03,5.7039716343e-03
poly_d2_o4,complex_sinh,150.005250,2.6309438644e-03,2.4368844158e-03,2.8709897777e-03
poly_d2_o4,complex_sinh,160.005600,2.4015683280e-03,2.3060419224e-03,5.4456193594e-03
poly_d2_o4,complex_sinh,170.005950,2.1693495717e-03,2.1285222076e-03,2.2115436868e-03
poly_d2_o4,complex_sinh,180.006300,2.0999092757e-02,6.3314926943e-03,2.3670708560e-02
poly_d2_o4,complex_sinh,190.006650,5.1066592114e-03,3.0953354018e-03,6.7697812949e-03
poly_d2_o4,complex_sinh,200.007000,2.6419267389e-03,2.5163509831e-03,7.1293931523e-03
poly_d2_o4,complex_sinh,210.007350,2.0407521677e-03,2.0293980561e-03,3.1356688495e-03
