task_id,family,setting,variant,boundary_weights,seed0_rel_error,seed1_rel_error,seed2_rel_error,rel_error_mean,rel_error_std,rel_error_min,rel_error_max,loss_mean,loss_std,history_points_min,history_points_max,history_endpoint_min_s,history_endpoint_max_s
poly_d2_o2,poly,d2_o2,complex_sinh,[0.1],0.00019238432397014813,0.00039645169516262937,0.00038519033274931214,0.0003246754506273632,0.00011470575929319117,0.00019238432397014813,0.00039645169516262937,6.518678183719732e-06,4.249453844287308e-07,802,804,1000.018,1000.041
poly_d2_o2,poly,d2_o2,complex_sinh_autodiff,[0.1],0.000561850634794471,0.00044600731167248947,0.0006181095974783805,0.0005419891813151136,8.775338851370731e-05,0.00044600731167248947,0.0006181095974783805,6.66863420276244e-06,4.259396667854766e-07,548,550,1000.019,1000.089
poly_d2_o4,poly,d2_o4,complex_sinh,"[0.1,10.0]",0.0005924575981787956,0.0007326634744278197,0.0006410415377108913,0.0006553875367725022,7.119534886841956e-05,0.0005924575981787956,0.0007326634744278197,7.202038576621813e-06,3.9546684553421555e-07,199,199,1000.035,1000.245
poly_d2_o4,poly,d2_o4,complex_sinh_autodiff,"[0.1,10.0]",0.0013823607697515457,0.0015439826864286081,0.001355756619402345,0.001427366691860833,0.000101864679088113,0.001355756619402345,0.0015439826864286081,8.904697443410021e-06,5.023577894684245e-07,89,89,1000.02,1000.515
poly_d2_o6,poly,d2_o6,complex_sinh,"[0.01,1.0,10.0]",0.023452538700991447,0.05444739011542697,0.022861303019510226,0.03358707727864288,0.018067979373580723,0.022861303019510226,0.05444739011542697,1.4441886938920177e-05,8.247018387016392e-07,59,59,1000.112,1000.411
poly_d2_o6,poly,d2_o6,complex_sinh_autodiff,"[0.01,1.0,10.0]",0.08710129104460826,0.1300806939534612,0.05816075593995192,0.09178091364600713,0.03618761558510586,0.05816075593995192,0.1300806939534612,4.053832763929063e-05,8.367325540392025e-06,15,15,1003.228,1003.492
chirp_a1,chirp,a1,complex_sinh,[1.0],3.310086839515307e-05,0.0007661089699998357,0.00035265600921701996,0.00038395528253733625,0.0003675050375672558,3.310086839515307e-05,0.0007661089699998357,1.1786767991838602e-05,1.021470591784213e-06,687,688,1000.008,1000.027
chirp_a1,chirp,a1,complex_sinh_autodiff,[1.0],0.0003574789410001538,0.0006901086597942266,0.0010661288174952258,0.0007045721394298687,0.00035454626785018926,0.0003574789410001538,0.0010661288174952258,1.26107087100126e-05,1.1797979156252243e-06,491,493,1000.028,1000.086
chirp_a2,chirp,a2,complex_sinh,[0.1],0.00013912230505272572,0.0021517869732617313,0.00038822326902370196,0.000893044182446053,0.001097195462365594,0.00013912230505272572,0.0021517869732617313,1.637987569111743e-05,1.5309187468144282e-06,681,682,1000.021,1000.062
chirp_a2,chirp,a2,complex_sinh_autodiff,[0.1],0.0011971226280857057,0.0009876043116440393,0.00032324728221934027,0.0008359914073163617,0.0004562393939559254,0.00032324728221934027,0.0011971226280857057,1.6427672238918008e-05,1.302206956566921e-06,490,492,1000.001,1000.079
chirp_a3,chirp,a3,complex_sinh,[0.01],0.00017634589438482364,0.00016929763115871164,0.00021303551706463778,0.0001862263475360577,2.348335967733857e-05,0.00016929763115871164,0.00021303551706463778,3.1639078811241834e-05,2.4489335392716005e-06,681,683,1000.008,1000.066
chirp_a3,chirp,a3,complex_sinh_autodiff,[0.01],0.00020065131240517499,0.0004448175237974186,0.000369824074678618,0.0003384309702937372,0.0001250736980687805,0.00020065131240517499,0.0004448175237974186,3.202495702924503e-05,2.4521631671832174e-06,489,492,1000.012,1000.082
maxwell_a2,maxwell,a2,complex_sinh,[0.1],0.0010041723300860564,0.0009637271099741719,0.0017479564406046918,0.0012386186268883066,0.00044156280450069046,0.0009637271099741719,0.0017479564406046918,1.6787910085781513e-05,8.899004441256862e-07,682,683,1000.004,1000.057
maxwell_a2,maxwell,a2,complex_sinh_autodiff,[0.1],0.000784561094031094,0.002110072960930628,0.0019246484616879803,0.0016064275055499009,0.000717770060685835,0.000784561094031094,0.002110072960930628,1.7149821240251765e-05,1.2709334086196866e-06,490,491,1000.002,1000.089
maxwell_a4,maxwell,a4,complex_sinh,[0.1],0.0012390105617869724,0.000840544877302844,0.0016329356555937905,0.0012374970315612024,0.0003961975573630423,0.000840544877302844,0.0016329356555937905,5.5201527549607123e-05,4.0201064683845555e-06,683,685,1000.003,1000.038
maxwell_a4,maxwell,a4,complex_sinh_autodiff,[0.1],0.0013300860440000886,0.0008885097915309628,0.0022140700226978313,0.0014775552860762944,0.0006749724917592482,0.0008885097915309628,0.0022140700226978313,5.58404971697617e-05,3.607152040584277e-06,491,492,1000.005,1000.094
maxwell_a6,maxwell,a6,complex_sinh,[0.01],0.00895765176303016,0.010924474813469504,0.00793444468422667,0.009272190420242112,0.001519628562710474,0.00793444468422667,0.010924474813469504,0.00011740916579616648,9.192609112215659e-06,685,687,1000.013,1000.064
maxwell_a6,maxwell,a6,complex_sinh_autodiff,[0.01],0.00981350492388065,0.010671325357747704,0.007764182085552269,0.009416337455726873,0.001493712488930703,0.007764182085552269,0.010671325357747704,0.00011882010973093092,9.13236705083786e-06,491,493,1000.001,1000.034
