bc_weights,vanilla_L2_err,sinh_L2_err,geometric_mean,max_error,weight_sum
"[0.1, 0.1, 1.0]",0.9990652985784999,0.40351475737404907,0.6349311707238315,0.9990652985784999,1.2
"[0.1, 0.01, 1.0]",0.9990641197557301,0.4051793590028392,0.6362390742836866,0.9990641197557301,1.11
"[0.1, 0.001, 1.0]",0.9990597091534996,0.40539707774624734,0.6364085846253525,0.9990597091534996,1.101
"[0.1, 1.0, 1.0]",0.9990803040974813,0.4168721848485589,0.6453594263728389,0.9990803040974813,2.1
"[0.1, 1.0, 0.1]",0.9990864932047798,0.42379368834681896,0.6506969724324394,0.9990864932047798,1.2000000000000002
"[0.1, 1.0, 0.01]",0.9990892882617642,0.4252552971613385,0.6518190026153478,0.9990892882617642,1.11
"[0.1, 1.0, 0.001]",0.9991207164506509,0.425453168574569,0.6519808851511085,0.9991207164506509,1.101
"[0.1, 0.1, 0.1]",0.9990800041597717,0.42904123161711283,0.6547110167613942,0.9990800041597717,0.30000000000000004
"[0.1, 0.1, 0.01]",0.9990243620917258,0.4324645646651259,0.6572995023897807,0.9990243620917258,0.21000000000000002
"[0.1, 0.01, 0.1]",0.9990337716297073,0.43256220117649724,0.6573767924910372,0.9990337716297073,0.21000000000000002
"[0.1, 0.1, 0.001]",0.9990718607599527,0.43302225392535804,0.6577388151688147,0.9990718607599527,0.201
"[0.1, 0.001, 0.1]",0.9990293563676245,0.4331705542346655,0.657837441921988,0.9990293563676245,0.201
"[0.1, 0.01, 0.01]",0.9990364320035141,0.4363999434934566,0.6602873938477382,0.9990364320035141,0.12
"[0.1, 0.01, 0.001]",0.9990734733102102,0.4369123801572621,0.6606871946511048,0.9990734733102102,0.111
"[0.1, 0.001, 0.01]",0.9990668933622474,0.4369934782465525,0.6607463331198639,0.9990668933622474,0.111
"[0.1, 0.001, 0.001]",0.9990823494862935,0.43737106775922824,0.661036847667525,0.9990823494862935,0.10200000000000001
"[0.01, 1.0, 10.0]",0.98983283416981,0.45811839248580555,0.6733948520886852,0.98983283416981,11.01
"[0.1, 0.1, 10.0]",0.9990369534701968,0.4845351762015651,0.695750347669016,0.9990369534701968,10.2
"[0.1, 0.01, 10.0]",0.9990697990085691,0.48582300558149716,0.6966857918316156,0.9990697990085691,10.11
"[0.1, 0.001, 10.0]",0.9990639754358884,0.48602732770417817,0.6968302477552317,0.9990639754358884,10.101
"[0.1, 1.0, 10.0]",0.9990523763490294,0.4963809685347151,0.7042091920651419,0.9990523763490294,11.1
"[0.01, 1.0, 1.0]",0.989790338154991,0.5293096643901645,0.7238132298496939,0.989790338154991,2.01
"[0.01, 10.0, 0.001]",0.9946610733295397,0.559265696874315,0.7458416844943699,0.9946610733295397,10.011
"[0.01, 10.0, 0.01]",0.9946663765851359,0.5593558188598283,0.745903764280029,0.9946663765851359,10.02
