bc_weights,vanilla_L2_err,sinh_L2_err,geometric_mean,max_error,weight_sum
"[0.01, 1.0, 10.0]",0.5532009838450749,0.14430848113155323,0.28254485261487894,0.5532009838450749,11.01
"[1.0, 10.0, 100.0]",0.9979795740820326,0.08177911155864596,0.28568143608240376,0.9979795740820326,111.0
"[0.01, 1.0, 1.0]",0.5817709073654357,0.1405835619910055,0.2859850108312886,0.5817709073654357,2.01
"[1.0, 1.0, 100.0]",0.9977509989367657,0.08677788700794078,0.29424942386994524,0.9977509989367657,102.0
"[0.01, 1.0, 0.1]",0.5996135125539409,0.1447082795405623,0.29456584966854893,0.5996135125539409,1.11
"[0.01, 1.0, 0.001]",0.5912409562668316,0.1472988575770446,0.2951086535682471,0.5912409562668316,1.011
"[0.01, 1.0, 0.01]",0.5941145222271549,0.14695696039718537,0.29548141111469045,0.5941145222271549,1.02
"[0.1, 10.0, 100.0]",0.9839674236866094,0.101503471159174,0.3160318164548318,0.9839674236866094,110.1
"[10.0, 0.001, 10.0]",0.9996789390757389,0.1115974865854365,0.33400846844540955,0.9996789390757389,20.000999999999998
"[10.0, 0.1, 10.0]",0.9996789802093066,0.11167812958280675,0.3341291347563439,0.9996789802093066,20.1
"[10.0, 0.01, 10.0]",0.999681934396859,0.1121017534528161,0.3347627484368459,0.999681934396859,20.009999999999998
"[0.01, 0.1, 10.0]",0.7981536838639156,0.14145030180352117,0.3360045825106305,0.7981536838639156,10.11
"[10.0, 1.0, 10.0]",0.9996803048805636,0.11330772227497982,0.3365583134453434,0.9996803048805636,21.0
"[0.1, 0.1, 0.001]",0.923867712258757,0.12596776490486836,0.3411415406851087,0.923867712258757,0.201
"[0.1, 0.1, 0.01]",0.9238244151497536,0.127682299868468,0.34344726815184146,0.9238244151497536,0.21000000000000002
"[1.0, 0.1, 100.0]",0.9977347996061249,0.12124675918796234,0.34781045266250077,0.9977347996061249,101.1
"[0.1, 1.0, 1.0]",0.9349414467779721,0.1327896254444407,0.3523500028808435,0.9349414467779721,2.1
"[0.1, 10.0, 0.001]",0.974516251360436,0.12743512822698455,0.3524026155569755,0.974516251360436,10.100999999999999
"[0.1, 10.0, 0.01]",0.9744836327155737,0.1277969492483686,0.35289663550892353,0.9744836327155737,10.11
"[1.0, 0.01, 100.0]",0.9977238809109772,0.12540864263007173,0.35372757543716177,0.9977238809109772,101.01
"[1.0, 0.001, 100.0]",0.997719994559057,0.12542888323954338,0.35375543063436615,0.997719994559057,101.001
"[0.01, 0.01, 10.0]",0.8564428509615458,0.14892553992200416,0.3571361280965407,0.8564428509615458,10.02
"[0.1, 10.0, 0.1]",0.9744633759065231,0.1322206892040749,0.35894876955700794,0.9744633759065231,10.2
"[0.1, 0.1, 0.1]",0.925704919613566,0.14091225688015097,0.36116917009596256,0.925704919613566,0.30000000000000004
"[0.01, 0.001, 10.0]",0.8728378544414622,0.1505529880621566,0.36250289251249274,0.8728378544414622,10.011
"[0.1, 1.0, 0.001]",0.9337160231578052,0.14314444699713774,0.3655902949850976,0.9337160231578052,1.101
"[10.0, 10.0, 0.001]",0.9996912016360051,0.13375879600768498,0.3656740235651254,0.9996912016360051,20.001
"[10.0, 10.0, 0.01]",0.9996913409864295,0.13385155444730468,0.36580082006270037,0.9996913409864295,20.01
"[0.1, 1.0, 0.01]",0.9337996962668934,0.14340394463864334,0.36593791815967847,0.9337996962668934,1.11
