task_id,candidate_id,lambda_ic,lambda_bc,war_rel_error,real_sinh_autodiff_rel_error,geometric_mean,max_error,rank_war,rank_real_sinh_autodiff,rank_shared_geomean,rank_shared_minimax
cahn_hilliard_2d_o4,point_025,1.0,10.0,0.0591781884431839,0.21972675621509552,0.1140308352390109,0.21972675621509552,3,1,1,1
cahn_hilliard_2d_o4,point_012,0.01,100.0,0.03732552006840706,0.45603469014167786,0.13046735982142427,0.45603469014167786,1,17,2,16
cahn_hilliard_2d_o4,point_030,10.0,0.1,0.0637504830956459,0.288271427154541,0.13556342701397486,0.288271427154541,4,4,3,4
cahn_hilliard_2d_o4,point_032,10.0,10.0,0.07680957764387131,0.24704065918922424,0.13775009507505928,0.24704065918922424,16,3,4,3
cahn_hilliard_2d_o4,point_029,10.0,0.01,0.06558256596326828,0.29245972633361816,0.13849281314881975,0.29245972633361816,6,5,5,5
cahn_hilliard_2d_o4,point_028,10.0,0.001,0.06486278772354126,0.3160935044288635,0.14318765965878352,0.3160935044288635,5,6,6,6
cahn_hilliard_2d_o4,point_031,10.0,1.0,0.09312157332897186,0.24195903539657593,0.1501053165523778,0.24195903539657593,19,2,7,2
cahn_hilliard_2d_o4,point_024,1.0,1.0,0.07399776577949524,0.3261573612689972,0.15535416320923448,0.3261573612689972,12,8,8,8
cahn_hilliard_2d_o4,point_018,0.1,10.0,0.07517778128385544,0.3235430121421814,0.15595911580521576,0.3235430121421814,15,7,9,7
cahn_hilliard_2d_o4,point_004,0.001,10.0,0.07182387262582779,0.37189599871635437,0.16343503553968608,0.37189599871635437,10,9,10,9
cahn_hilliard_2d_o4,point_011,0.01,10.0,0.06973918527364731,0.38608184456825256,0.16408849225078787,0.38608184456825256,7,11,11,11
cahn_hilliard_2d_o4,point_023,1.0,0.1,0.07510504871606827,0.38140439987182617,0.16924950822054488,0.38140439987182617,14,10,12,10
cahn_hilliard_2d_o4,point_022,1.0,0.01,0.0713868960738182,0.41424596309661865,0.17196433792091037,0.41424596309661865,9,12,13,12
cahn_hilliard_2d_o4,point_021,1.0,0.001,0.07287183403968811,0.46212777495384216,0.18351048613517082,0.46212777495384216,11,18,14,17
cahn_hilliard_2d_o4,point_019,0.1,100.0,0.07400786876678467,0.463959276676178,0.185301476684302,0.463959276676178,13,19,15,18
cahn_hilliard_2d_o4,point_026,1.0,100.0,0.05531696230173111,0.6480148434638977,0.18933096066638075,0.6480148434638977,2,23,16,22
cahn_hilliard_2d_o4,point_037,100.0,0.1,0.10618860274553299,0.4209418296813965,0.21142191166247556,0.4209418296813965,28,13,17,13
cahn_hilliard_2d_o4,point_035,100.0,0.001,0.1053624078631401,0.4298584759235382,0.21281664423555696,0.4298584759235382,27,14,18,14
cahn_hilliard_2d_o4,point_036,100.0,0.01,0.10011455416679382,0.455309122800827,0.213501919984994,0.455309122800827,23,16,19,15
cahn_hilliard_2d_o4,point_038,100.0,1.0,0.0995185449719429,0.4679800868034363,0.21580708355964945,0.4679800868034363,22,20,20,19
cahn_hilliard_2d_o4,point_033,10.0,100.0,0.06991569697856903,0.7662273645401001,0.23145479091147192,0.7662273645401001,8,32,21,31
cahn_hilliard_2d_o4,point_016,0.1,0.1,0.09352485835552216,0.6219990849494934,0.241189502916619,0.6219990849494934,20,22,22,21
cahn_hilliard_2d_o4,point_039,100.0,10.0,0.13475331664085388,0.5177932381629944,0.26414836016275217,0.5177932381629944,36,21,23,20
cahn_hilliard_2d_o4,point_041,100.0,1000.0,0.09425219148397446,0.8774144649505615,0.28757301014060643,0.8774144649505615,21,38,24,37
cahn_hilliard_2d_o4,point_009,0.01,0.1,0.11371905356645584,0.7454690337181091,0.2911598065968648,0.7454690337181091,30,31,25,30
cahn_hilliard_2d_o4,point_014,0.1,0.001,0.10071845352649689,0.8509134650230408,0.292750214828262,0.8509134650230408,24,36,26,35
cahn_hilliard_2d_o4,point_034,10.0,1000.0,0.09098155796527863,0.9429976940155029,0.29290851704789256,0.9429976940155029,17,39,27,38
cahn_hilliard_2d_o4,point_027,1.0,1000.0,0.09119325876235962,0.9501765966415405,0.29436321143694266,0.9501765966415405,18,40,28,39
cahn_hilliard_2d_o4,point_040,100.0,100.0,0.1328715980052948,0.697726845741272,0.3044800173489824,0.697726845741272,35,25,29,24
cahn_hilliard_2d_o4,point_008,0.01,0.01,0.1163790300488472,0.8118831515312195,0.30738603365833744,0.8118831515312195,32,34,30,33
cahn_hilliard_2d_o4,point_007,0.01,0.001,0.11314290761947632,0.8465417623519897,0.30948375791601707,0.8465417623519897,29,35,31,34
cahn_hilliard_2d_o4,point_046,1000.0,10.0,0.17252390086650848,0.7436549663543701,0.3581874588734341,0.7436549663543701,37,30,32,29
cahn_hilliard_2d_o4,point_042,1000.0,0.001,0.21090124547481537,0.7234690189361572,0.39061556184575946,0.7234690189361572,38,27,33,26
cahn_hilliard_2d_o4,point_043,1000.0,0.01,0.22157181799411774,0.7291903495788574,0.40195526047055746,0.7291903495788574,39,28,34,27
cahn_hilliard_2d_o4,point_045,1000.0,1.0,0.23987801373004913,0.7107361555099487,0.4129043197519951,0.7107361555099487,41,26,35,25
cahn_hilliard_2d_o4,point_044,1000.0,0.1,0.23363956809043884,0.7400357127189636,0.4158144108748021,0.7400357127189636,40,29,36,28
cahn_hilliard_2d_o4,point_015,0.1,0.01,0.10330051183700562,2.37154483795166,0.494956357272856,2.37154483795166,26,45,37,44
cahn_hilliard_2d_o4,point_003,0.001,1.0,0.10152830183506012,2.4436023235321045,0.49809115056224573,2.4436023235321045,25,46,38,45
cahn_hilliard_2d_o4,point_047,1000.0,100.0,0.30007487535476685,0.8513445258140564,0.5054375356734164,0.8513445258140564,42,37,39,36
cahn_hilliard_2d_o4,point_002,0.001,0.1,0.11399561911821365,2.452176570892334,0.528712952731489,2.452176570892334,31,47,40,46
cahn_hilliard_2d_o4,point_000,0.001,0.001,0.12157510221004486,2.7968666553497314,0.583120355923209,2.7968666553497314,33,48,41,47
cahn_hilliard_2d_o4,point_001,0.001,0.01,0.12213138490915298,2.7992618083953857,0.5847031053300713,2.7992618083953857,34,49,42,48
