candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_tanh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
point_023,23,0.11359705140620338,0.3972451984882355,0.21486482210457325,0.3972451984882355,0.032484445720911026,"['1e+0', '1e-1']","{'lambda_ic': 1.0, 'lambda_bc': 0.1}",1.1,"[1.0, 0.1]"
point_022,22,0.1298768655372876,0.3875635862350464,0.2155433837324381,0.3875635862350464,0.04352318122982979,"['1e+0', '1e-2']","{'lambda_ic': 1.0, 'lambda_bc': 0.01}",1.01,"[1.0, 0.01]"
point_046,46,0.1343685349177372,0.22311300039291382,0.15201784297823906,0.22311300039291382,0.0809226855635643,"['1e+3', '1e+1']","{'lambda_ic': 1000.0, 'lambda_bc': 10.0}",1010.0,"[1000.0, 10.0]"
point_045,45,0.1344927782900341,0.22283786535263062,0.15200518444180489,0.22283786535263062,0.08117250353097916,"['1e+3', '1e+0']","{'lambda_ic': 1000.0, 'lambda_bc': 1.0}",1001.0,"[1000.0, 1.0]"
point_047,47,0.13471392400747983,0.22314892709255219,0.15223753452301025,0.22314892709255219,0.08132614195346832,"['1e+3', '1e+2']","{'lambda_ic': 1000.0, 'lambda_bc': 100.0}",1100.0,"[1000.0, 100.0]"
point_044,44,0.13555706063163273,0.22498181462287903,0.15332913398742676,0.22498181462287903,0.08167645335197449,"['1e+3', '1e-1']","{'lambda_ic': 1000.0, 'lambda_bc': 0.1}",1000.1,"[1000.0, 0.1]"
point_042,42,0.1367049886734596,0.2247226983308792,0.1539420485496521,0.2247226983308792,0.08316139876842499,"['1e+3', '1e-3']","{'lambda_ic': 1000.0, 'lambda_bc': 0.001}",1000.001,"[1000.0, 0.001]"
point_043,43,0.13685743320569804,0.2245602309703827,0.15398375317454338,0.2245602309703827,0.08340727537870407,"['1e+3', '1e-2']","{'lambda_ic': 1000.0, 'lambda_bc': 0.01}",1000.01,"[1000.0, 0.01]"
point_021,21,0.13694891088250316,0.39053499698638916,0.21927943639457226,0.39053499698638916,0.048023875802755356,"['1e+0', '1e-3']","{'lambda_ic': 1.0, 'lambda_bc': 0.001}",1.001,"[1.0, 0.001]"
point_040,40,0.13935337971701245,0.29671409726142883,0.18108108267188072,0.29671409726142883,0.06544806808233261,"['1e+2', '1e+2']","{'lambda_ic': 100.0, 'lambda_bc': 100.0}",200.0,"[100.0, 100.0]"
