candidate_id,candidate_index,real_tanh_autodiff_divergence_rms,real_tanh_autodiff_energy_relative_rmse,real_tanh_autodiff_loss,real_tanh_autodiff_pressure_mean_max_abs,real_tanh_autodiff_pressure_rel_error,real_tanh_autodiff_rel_error,real_tanh_autodiff_status,real_tanh_autodiff_steps,real_tanh_autodiff_velocity_rel_error,war_divergence_rms,war_energy_relative_rmse,war_loss,war_pressure_mean_max_abs,war_pressure_rel_error,war_rel_error,war_status,war_steps,war_velocity_rel_error,weight_labels,weight_map,weights
point_000,0,0.0014114966616034508,0.9963992834091187,0.0002621615130919963,0.0004641456180252135,1.0000919103622437,1.0013498067855835,complete,279,1.0013498067855835,0.00047784182243049145,0.9995942115783691,0.0002497079549357295,0.000204135401872918,1.0000336170196533,0.9998825192451477,complete,1129,0.9998825192451477,"[""1e-3"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.001}","[0.001, 0.001]"
point_001,1,0.0015803786227479577,0.9992347359657288,0.0002670551184564829,0.00043564720544964075,1.0000927448272705,0.9999101161956787,complete,281,0.9999101161956787,0.0004776042769663036,0.9996352195739746,0.00024425360606983304,0.0002510904159862548,1.00003182888031,0.999918520450592,complete,1120,0.999918520450592,"[""1e-3"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.001}","[0.001, 0.01]"
point_002,2,0.001706042094156146,0.9999731779098511,0.0002612122625578195,0.0004814517160411924,1.000084638595581,0.9996194243431091,complete,275,0.9996194243431091,0.00044881284702569246,0.9996514320373535,0.0002486445882823318,0.0001703557645669207,1.000026822090149,0.9999158978462219,complete,1100,0.9999158978462219,"[""1e-3"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.001}","[0.001, 0.1]"
point_003,3,0.0013017674209550023,0.9997662305831909,0.0002533227961976081,0.0008150895009748638,1.000047206878662,0.9996672868728638,complete,278,0.9996672868728638,0.00042540591675788164,0.9999760389328003,0.0002531173813622445,0.00015071779489517212,1.0000121593475342,0.9997485876083374,complete,1102,0.9997485876083374,"[""1e-3"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.001}","[0.001, 1.0]"
point_004,4,0.0015571399126201868,0.9990238547325134,0.00029098999220877886,0.0008932952187024057,1.0000070333480835,1.0002293586730957,complete,282,1.0002293586730957,0.000230894293054007,0.9999983310699463,0.000247149117058143,0.0002222088660346344,0.9999983906745911,0.9998854994773865,complete,1118,0.9998854994773865,"[""1e-3"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.001}","[0.001, 10.0]"
point_005,5,0.001172982039861381,0.9997792840003967,0.0003522614133544266,0.0015796534717082977,1.0000500679016113,1.0000728368759155,complete,273,1.0000728368759155,0.0001304594916291535,0.9999936819076538,0.0002517667307984084,0.00022489158436655998,0.9999979734420776,0.9999353289604187,complete,1095,0.9999353289604187,"[""1e-3"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.001}","[0.001, 100.0]"
point_006,6,0.0007194921490736306,0.9998584389686584,0.000798270630184561,0.002367726294323802,0.9998654723167419,1.0003405809402466,complete,272,1.0003405809402466,3.0011977287358604e-05,0.9999914169311523,0.00025722855934873223,0.00011595330579439178,0.999994158744812,0.9999709129333496,complete,1092,0.9999709129333496,"[""1e-3"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.001}","[0.001, 1000.0]"
point_007,7,0.0017017178470268846,0.9997022747993469,0.0025582106318324804,0.0004651918134186417,1.000104546546936,0.9994011521339417,complete,284,0.9994011521339417,0.0007476831087842584,0.9999752640724182,0.0023690732195973396,0.00029106589499861,1.0000340938568115,0.9990707635879517,complete,1085,0.9990707635879517,"[""1e-2"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.01}","[0.01, 0.001]"
point_008,8,0.0017414359608665109,0.999902069568634,0.0025577940978109837,0.0004459145711734891,1.0001046657562256,0.9992856979370117,complete,284,0.9992856979370117,0.0007420313195325434,0.9999883770942688,0.002514149760827422,0.000208846598980017,1.0000334978103638,0.9990777969360352,complete,1102,0.9990777969360352,"[""1e-2"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.01}","[0.01, 0.01]"
point_009,9,0.0017059267265722156,0.9999860525131226,0.0024290787987411022,0.0004899960476905107,1.0000871419906616,0.9993140697479248,complete,287,0.9993140697479248,0.0006605291273444891,0.9999825358390808,0.0024321372620761395,0.00023674046678934246,1.0000280141830444,0.9991929531097412,complete,1089,0.9991929531097412,"[""1e-2"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.01}","[0.01, 0.1]"
