completed_at,evaluation_seconds,final_history_has_loss,final_history_has_rel_error,history_points,loss,method,ms_per_step,peak_mb,rel_error,seed,started_at,status,steps,task_id,training_seconds
2026-08-10T15:20:50.045837+00:00,0.024636806920170784,True,True,61,1.2614138995559188e-06,war,28.99931312007608,599.77880859375,0.0025266935117542744,0,2026-08-10T15:00:47.003983+00:00,complete,41381,dynamic_plate_2d_o4,1200.0205762218684
2026-08-10T15:40:59.480903+00:00,0.02394389919936657,True,True,61,8.256867658928968e-06,real_tanh_autodiff,51.72720010898957,738.71044921875,0.01039497647434473,0,2026-08-10T15:20:56.190435+00:00,complete,23199,dynamic_plate_2d_o4,1200.019315328449
2026-08-10T16:21:22.478802+00:00,0.025808272883296013,True,True,61,1.0119065336766653e-06,war,29.056514355778482,599.77880859375,0.0017033411422744393,1,2026-08-10T16:01:18.686120+00:00,complete,41299,dynamic_plate_2d_o4,1200.0049863792956
2026-08-10T16:01:10.988252+00:00,0.024865450337529182,True,True,61,9.864137609838508e-06,real_tanh_autodiff,54.56909219163956,738.71044921875,0.014471576549112797,1,2026-08-10T15:41:07.675414+00:00,complete,21991,dynamic_plate_2d_o4,1200.0289063863456
2026-08-10T16:41:31.710214+00:00,0.027228262275457382,True,True,61,3.1796713528819964e-07,war,29.593750660189425,599.77880859375,0.00107368896715343,2,2026-08-10T16:21:28.510040+00:00,complete,40550,dynamic_plate_2d_o4,1200.0265892706811
2026-08-10T17:01:41.111975+00:00,0.02309240587055683,True,True,61,1.0728568668127991e-05,real_tanh_autodiff,48.8991550295916,738.71044921875,0.012193984352052212,2,2026-08-10T16:41:37.625409+00:00,complete,24541,dynamic_plate_2d_o4,1200.0341635812074
2026-08-10T17:42:01.075405+00:00,0.02400624006986618,True,True,61,6.388571023308032e-07,war,28.59497890917629,599.77880859375,0.0014701875625178218,3,2026-08-10T17:21:58.030782+00:00,complete,41966,dynamic_plate_2d_o4,1200.0168849024922
2026-08-10T17:21:52.096826+00:00,0.025630135089159012,True,True,61,7.072835614962969e-06,real_tanh_autodiff,48.90984172898187,738.71044921875,0.008249228820204735,3,2026-08-10T17:01:48.284649+00:00,complete,24536,dynamic_plate_2d_o4,1200.051876662299
2026-08-10T18:02:12.879229+00:00,0.023565208539366722,True,True,61,5.859154725840199e-07,war,27.962303384192325,599.77880859375,0.0015967339277267456,4,2026-08-10T17:42:08.634693+00:00,complete,42915,dynamic_plate_2d_o4,1200.0022497326136
2026-08-10T18:22:21.727918+00:00,0.025883430615067482,True,True,61,9.397793292009737e-06,real_tanh_autodiff,48.706131687895706,738.71044921875,0.012975663878023624,4,2026-08-10T18:02:18.701428+00:00,complete,24638,dynamic_plate_2d_o4,1200.0216725263745
