task_id,ranking,rank,candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_tanh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
poly_d2_o2,war,1,point_003,3,0.001571784946251209,0.0053944316866919905,0.002926202700604438,0.0053944316866919905,0.00045797371451688503,"[""1e+0""]","{""w_u"": 1.0}",1.0,[1.0]
poly_d2_o2,war,2,point_004,4,0.009823205860182904,0.10611828993926276,0.05351380445117203,0.10611828993926276,0.0009093189630813055,"[""1e+1""]","{""w_u"": 10.0}",10.0,[10.0]
poly_d2_o2,war,3,point_002,2,0.0019473754057910777,0.003740178422118903,0.0023770531233494366,0.003740178422118903,0.0010139278245799702,"[""1e-1""]","{""w_u"": 0.1}",0.1,[0.1]
poly_d2_o2,war,4,point_005,5,0.06636893614308302,0.8610148987063697,0.43306538167896846,0.8610148987063697,0.0051158646515672025,"[""1e+2""]","{""w_u"": 100.0}",100.0,[100.0]
poly_d2_o2,war,5,point_001,1,0.009062685924152483,0.014110684367421205,0.009965628957237294,0.014110684367421205,0.0058205735470533825,"[""1e-2""]","{""w_u"": 0.01}",0.01,[0.01]
poly_d2_o2,war,6,point_000,0,0.055025512685391915,0.0905878834029448,0.062005928628146745,0.0905878834029448,0.03342397385334869,"[""1e-3""]","{""w_u"": 0.001}",0.001,[0.001]
poly_d2_o2,war,7,point_006,6,0.3011433612753531,0.9996853993614445,0.5452006313350932,0.9996853993614445,0.0907158633087419,"[""1e+3""]","{""w_u"": 1000.0}",1000.0,[1000.0]
poly_d2_o2,realad,1,point_002,2,0.0019473754057910777,0.003740178422118903,0.0023770531233494366,0.003740178422118903,0.0010139278245799702,"[""1e-1""]","{""w_u"": 0.1}",0.1,[0.1]
poly_d2_o2,realad,2,point_003,3,0.001571784946251209,0.0053944316866919905,0.002926202700604438,0.0053944316866919905,0.00045797371451688503,"[""1e+0""]","{""w_u"": 1.0}",1.0,[1.0]
poly_d2_o2,realad,3,point_001,1,0.009062685924152483,0.014110684367421205,0.009965628957237294,0.014110684367421205,0.0058205735470533825,"[""1e-2""]","{""w_u"": 0.01}",0.01,[0.01]
poly_d2_o2,realad,4,point_000,0,0.055025512685391915,0.0905878834029448,0.062005928628146745,0.0905878834029448,0.03342397385334869,"[""1e-3""]","{""w_u"": 0.001}",0.001,[0.001]
poly_d2_o2,realad,5,point_004,4,0.009823205860182904,0.10611828993926276,0.05351380445117203,0.10611828993926276,0.0009093189630813055,"[""1e+1""]","{""w_u"": 10.0}",10.0,[10.0]
poly_d2_o2,realad,6,point_005,5,0.06636893614308302,0.8610148987063697,0.43306538167896846,0.8610148987063697,0.0051158646515672025,"[""1e+2""]","{""w_u"": 100.0}",100.0,[100.0]
poly_d2_o2,realad,7,point_006,6,0.3011433612753531,0.9996853993614445,0.5452006313350932,0.9996853993614445,0.0907158633087419,"[""1e+3""]","{""w_u"": 1000.0}",1000.0,[1000.0]
poly_d2_o2,shared_geomean,1,point_003,3,0.001571784946251209,0.0053944316866919905,0.002926202700604438,0.0053944316866919905,0.00045797371451688503,"[""1e+0""]","{""w_u"": 1.0}",1.0,[1.0]
poly_d2_o2,shared_geomean,2,point_002,2,0.0019473754057910777,0.003740178422118903,0.0023770531233494366,0.003740178422118903,0.0010139278245799702,"[""1e-1""]","{""w_u"": 0.1}",0.1,[0.1]
poly_d2_o2,shared_geomean,3,point_001,1,0.009062685924152483,0.014110684367421205,0.009965628957237294,0.014110684367421205,0.0058205735470533825,"[""1e-2""]","{""w_u"": 0.01}",0.01,[0.01]
poly_d2_o2,shared_geomean,4,point_004,4,0.009823205860182904,0.10611828993926276,0.05351380445117203,0.10611828993926276,0.0009093189630813055,"[""1e+1""]","{""w_u"": 10.0}",10.0,[10.0]
poly_d2_o2,shared_geomean,5,point_000,0,0.055025512685391915,0.0905878834029448,0.062005928628146745,0.0905878834029448,0.03342397385334869,"[""1e-3""]","{""w_u"": 0.001}",0.001,[0.001]
poly_d2_o2,shared_geomean,6,point_005,5,0.06636893614308302,0.8610148987063697,0.43306538167896846,0.8610148987063697,0.0051158646515672025,"[""1e+2""]","{""w_u"": 100.0}",100.0,[100.0]
poly_d2_o2,shared_geomean,7,point_006,6,0.3011433612753531,0.9996853993614445,0.5452006313350932,0.9996853993614445,0.0907158633087419,"[""1e+3""]","{""w_u"": 1000.0}",1000.0,[1000.0]
poly_d2_o2,shared_minimax,1,point_002,2,0.0019473754057910777,0.003740178422118903,0.0023770531233494366,0.003740178422118903,0.0010139278245799702,"[""1e-1""]","{""w_u"": 0.1}",0.1,[0.1]
