candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_tanh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
point_032,32,0.05769554145235087,0.1131861694944507,0.07129795336477823,0.1131861694944507,0.029409737235105746,"[""1e+1"", ""1e+1""]","{""lambda_ic"": 10.0, ""mu_mean"": 10.0}",20.0,"[10.0, 10.0]"
point_033,33,0.06753571551182476,0.128125679457552,0.08186205409784089,0.128125679457552,0.03559842873812981,"[""1e+1"", ""1e+2""]","{""lambda_ic"": 10.0, ""mu_mean"": 100.0}",110.0,"[10.0, 100.0]"
point_025,25,0.07385031523132028,0.09786496900892762,0.07679674029995613,0.09786496900892762,0.05572851159098465,"[""1e+0"", ""1e+1""]","{""lambda_ic"": 1.0, ""mu_mean"": 10.0}",11.0,"[1.0, 10.0]"
point_029,29,0.0800482262325183,0.10495125890122514,0.08300274551409426,0.10495125890122514,0.06105423212696336,"[""1e+1"", ""1e-2""]","{""lambda_ic"": 10.0, ""mu_mean"": 0.01}",10.01,"[10.0, 0.01]"
point_030,30,0.08009023185019612,0.10516277432017268,0.0830790859859518,0.10516277432017268,0.060995397651730926,"[""1e+1"", ""1e-1""]","{""lambda_ic"": 10.0, ""mu_mean"": 0.1}",10.1,"[10.0, 0.1]"
point_028,28,0.0822040639399453,0.10491384911517329,0.08466195842696787,0.10491384911517329,0.06441006773876246,"[""1e+1"", ""1e-3""]","{""lambda_ic"": 10.0, ""mu_mean"": 0.001}",10.001,"[10.0, 0.001]"
point_040,40,0.08394307368563796,0.19233588285025643,0.11448599917745743,0.19233588285025643,0.036636115504658416,"[""1e+2"", ""1e+2""]","{""lambda_ic"": 100.0, ""mu_mean"": 100.0}",200.0,"[100.0, 100.0]"
point_031,31,0.0860603729217157,0.12515569364760554,0.09216654379622563,0.12515569364760554,0.05917739394484572,"[""1e+1"", ""1e+0""]","{""lambda_ic"": 10.0, ""mu_mean"": 1.0}",11.0,"[10.0, 1.0]"
point_021,21,0.0879300038881186,0.09932164334698454,0.08858328269617977,0.09932164334698454,0.077844922045375,"[""1e+0"", ""1e-3""]","{""lambda_ic"": 1.0, ""mu_mean"": 0.001}",1.001,"[1.0, 0.001]"
point_038,38,0.09267041374418875,0.17279460052794293,0.11124705123211696,0.17279460052794293,0.04969950193629099,"[""1e+2"", ""1e+0""]","{""lambda_ic"": 100.0, ""mu_mean"": 1.0}",101.0,"[100.0, 1.0]"
point_019,19,0.09582231315450779,0.18845537479575658,0.11858866863344054,0.18845537479575658,0.048721962471124515,"[""1e-1"", ""1e+2""]","{""lambda_ic"": 0.1, ""mu_mean"": 100.0}",100.1,"[0.1, 100.0]"
point_039,39,0.09781592408020809,0.19953690985988082,0.12374385629900005,0.19953690985988082,0.04795080273811927,"[""1e+2"", ""1e+1""]","{""lambda_ic"": 100.0, ""mu_mean"": 10.0}",110.0,"[100.0, 10.0]"
