completed_at,evaluation_seconds,final_history_has_loss,final_history_has_rel_error,history_points,loss,method,ms_per_step,peak_mb,rel_error,seed,started_at,status,steps,task_id,training_seconds
2026-08-09T23:09:35.297203+00:00,0.022879809141159058,True,True,61,3.994976850663079e-06,war,25.19055617421144,499.498046875,0.014503680169582367,0,2026-08-09T22:49:31.834698+00:00,complete,47637,zk_2d_o3,1200.0025244709104
2026-08-09T23:29:43.880318+00:00,0.020415637642145157,True,True,61,1.3038563338341191e-05,real_tanh_autodiff,24.279844678337508,306.62890625,0.024877119809389114,0,2026-08-09T23:09:40.984797+00:00,complete,49424,zk_2d_o3,1200.007043382153
2026-08-10T00:10:04.275850+00:00,0.023044070228934288,True,True,61,3.632636071415618e-05,war,25.18352307129074,499.498046875,0.018088165670633316,1,2026-08-09T23:49:59.335779+00:00,complete,47651,zk_2d_o3,1200.020057870075
2026-08-09T23:49:52.799758+00:00,0.02062811329960823,True,True,61,1.3375528396863956e-05,real_tanh_autodiff,24.58628180767737,306.62890625,0.030180232599377632,1,2026-08-09T23:29:49.457947+00:00,complete,48808,zk_2d_o3,1200.007242469117
2026-08-10T00:30:15.997616+00:00,0.02334616519510746,True,True,61,1.313375287281815e-05,war,25.529533763302283,499.498046875,0.016834286972880363,2,2026-08-10T00:10:12.680107+00:00,complete,47005,zk_2d_o3,1200.0157345440239
2026-08-10T00:50:25.666342+00:00,0.02311307191848755,True,True,61,4.598675877787173e-05,real_tanh_autodiff,27.32215891102911,306.62890625,0.03386194258928299,2,2026-08-10T00:30:22.164502+00:00,complete,43921,zk_2d_o3,1200.0165415313095
2026-08-10T01:30:46.384450+00:00,0.025545798242092133,True,True,61,7.0500313995580655e-06,war,26.871698768382952,499.498046875,0.016281388700008392,3,2026-08-10T01:10:43.204214+00:00,complete,44657,zk_2d_o3,1200.0094518996775
2026-08-10T01:10:36.466640+00:00,0.022648334503173828,True,True,61,1.6312293155351654e-05,real_tanh_autodiff,26.218164663640582,306.62890625,0.02624651975929737,3,2026-08-10T00:50:32.780209+00:00,complete,45770,zk_2d_o3,1200.0053966548294
2026-08-10T01:50:55.844813+00:00,0.02396235242486,True,True,61,4.284530405129772e-06,war,25.556872929644246,499.498046875,0.009316601790487766,4,2026-08-10T01:30:52.578921+00:00,complete,46955,zk_2d_o3,1200.0229684114456
2026-08-10T02:11:25.610135+00:00,0.02285030484199524,True,True,61,4.208513564663008e-05,real_tanh_autodiff,26.54174850410058,306.62890625,0.03128388896584511,4,2026-08-10T01:51:15.612359+00:00,complete,45212,zk_2d_o3,1200.0055333673954
