task_id,ranking,rank,candidate_id,lambda_ic,lambda_bc,war_rel_error,real_sinh_autodiff_rel_error,geometric_mean,max_error,mean_error,weight_sum
cahn_hilliard_2d_o4,war,1,point_012,0.01,100.0,0.03732552006840706,0.45603469014167786,0.13046735982142427,0.45603469014167786,0.24668010510504246,100.01
cahn_hilliard_2d_o4,war,2,point_026,1.0,100.0,0.05531696230173111,0.6480148434638977,0.18933096066638075,0.6480148434638977,0.3516659028828144,101.0
cahn_hilliard_2d_o4,war,3,point_025,1.0,10.0,0.0591781884431839,0.21972675621509552,0.1140308352390109,0.21972675621509552,0.1394524723291397,11.0
cahn_hilliard_2d_o4,war,4,point_030,10.0,0.1,0.0637504830956459,0.288271427154541,0.13556342701397486,0.288271427154541,0.17601095512509346,10.1
cahn_hilliard_2d_o4,war,5,point_028,10.0,0.001,0.06486278772354126,0.3160935044288635,0.14318765965878352,0.3160935044288635,0.1904781460762024,10.001
cahn_hilliard_2d_o4,war,6,point_029,10.0,0.01,0.06558256596326828,0.29245972633361816,0.13849281314881975,0.29245972633361816,0.17902114614844322,10.01
cahn_hilliard_2d_o4,war,7,point_011,0.01,10.0,0.06973918527364731,0.38608184456825256,0.16408849225078787,0.38608184456825256,0.22791051492094994,10.01
cahn_hilliard_2d_o4,war,8,point_033,10.0,100.0,0.06991569697856903,0.7662273645401001,0.23145479091147192,0.7662273645401001,0.41807153075933456,110.0
cahn_hilliard_2d_o4,war,9,point_022,1.0,0.01,0.0713868960738182,0.41424596309661865,0.17196433792091037,0.41424596309661865,0.24281642958521843,1.01
cahn_hilliard_2d_o4,war,10,point_004,0.001,10.0,0.07182387262582779,0.37189599871635437,0.16343503553968608,0.37189599871635437,0.22185993567109108,10.001
cahn_hilliard_2d_o4,real_sinh_autodiff,1,point_025,1.0,10.0,0.0591781884431839,0.21972675621509552,0.1140308352390109,0.21972675621509552,0.1394524723291397,11.0
cahn_hilliard_2d_o4,real_sinh_autodiff,2,point_031,10.0,1.0,0.09312157332897186,0.24195903539657593,0.1501053165523778,0.24195903539657593,0.1675403043627739,11.0
cahn_hilliard_2d_o4,real_sinh_autodiff,3,point_032,10.0,10.0,0.07680957764387131,0.24704065918922424,0.13775009507505928,0.24704065918922424,0.16192511841654778,20.0
cahn_hilliard_2d_o4,real_sinh_autodiff,4,point_030,10.0,0.1,0.0637504830956459,0.288271427154541,0.13556342701397486,0.288271427154541,0.17601095512509346,10.1
cahn_hilliard_2d_o4,real_sinh_autodiff,5,point_029,10.0,0.01,0.06558256596326828,0.29245972633361816,0.13849281314881975,0.29245972633361816,0.17902114614844322,10.01
cahn_hilliard_2d_o4,real_sinh_autodiff,6,point_028,10.0,0.001,0.06486278772354126,0.3160935044288635,0.14318765965878352,0.3160935044288635,0.1904781460762024,10.001
cahn_hilliard_2d_o4,real_sinh_autodiff,7,point_018,0.1,10.0,0.07517778128385544,0.3235430121421814,0.15595911580521576,0.3235430121421814,0.19936039671301842,10.1
cahn_hilliard_2d_o4,real_sinh_autodiff,8,point_024,1.0,1.0,0.07399776577949524,0.3261573612689972,0.15535416320923448,0.3261573612689972,0.20007756352424622,2.0
cahn_hilliard_2d_o4,real_sinh_autodiff,9,point_004,0.001,10.0,0.07182387262582779,0.37189599871635437,0.16343503553968608,0.37189599871635437,0.22185993567109108,10.001
cahn_hilliard_2d_o4,real_sinh_autodiff,10,point_023,1.0,0.1,0.07510504871606827,0.38140439987182617,0.16924950822054488,0.38140439987182617,0.22825472429394722,1.1
cahn_hilliard_2d_o4,shared_geomean,1,point_025,1.0,10.0,0.0591781884431839,0.21972675621509552,0.1140308352390109,0.21972675621509552,0.1394524723291397,11.0
cahn_hilliard_2d_o4,shared_geomean,2,point_012,0.01,100.0,0.03732552006840706,0.45603469014167786,0.13046735982142427,0.45603469014167786,0.24668010510504246,100.01
cahn_hilliard_2d_o4,shared_geomean,3,point_030,10.0,0.1,0.0637504830956459,0.288271427154541,0.13556342701397486,0.288271427154541,0.17601095512509346,10.1
cahn_hilliard_2d_o4,shared_geomean,4,point_032,10.0,10.0,0.07680957764387131,0.24704065918922424,0.13775009507505928,0.24704065918922424,0.16192511841654778,20.0
cahn_hilliard_2d_o4,shared_geomean,5,point_029,10.0,0.01,0.06558256596326828,0.29245972633361816,0.13849281314881975,0.29245972633361816,0.17902114614844322,10.01
cahn_hilliard_2d_o4,shared_geomean,6,point_028,10.0,0.001,0.06486278772354126,0.3160935044288635,0.14318765965878352,0.3160935044288635,0.1904781460762024,10.001
cahn_hilliard_2d_o4,shared_geomean,7,point_031,10.0,1.0,0.09312157332897186,0.24195903539657593,0.1501053165523778,0.24195903539657593,0.1675403043627739,11.0
cahn_hilliard_2d_o4,shared_geomean,8,point_024,1.0,1.0,0.07399776577949524,0.3261573612689972,0.15535416320923448,0.3261573612689972,0.20007756352424622,2.0
cahn_hilliard_2d_o4,shared_geomean,9,point_018,0.1,10.0,0.07517778128385544,0.3235430121421814,0.15595911580521576,0.3235430121421814,0.19936039671301842,10.1
cahn_hilliard_2d_o4,shared_geomean,10,point_004,0.001,10.0,0.07182387262582779,0.37189599871635437,0.16343503553968608,0.37189599871635437,0.22185993567109108,10.001
cahn_hilliard_2d_o4,shared_minimax,1,point_025,1.0,10.0,0.0591781884431839,0.21972675621509552,0.1140308352390109,0.21972675621509552,0.1394524723291397,11.0
cahn_hilliard_2d_o4,shared_minimax,2,point_031,10.0,1.0,0.09312157332897186,0.24195903539657593,0.1501053165523778,0.24195903539657593,0.1675403043627739,11.0
cahn_hilliard_2d_o4,shared_minimax,3,point_032,10.0,10.0,0.07680957764387131,0.24704065918922424,0.13775009507505928,0.24704065918922424,0.16192511841654778,20.0
cahn_hilliard_2d_o4,shared_minimax,4,point_030,10.0,0.1,0.0637504830956459,0.288271427154541,0.13556342701397486,0.288271427154541,0.17601095512509346,10.1
cahn_hilliard_2d_o4,shared_minimax,5,point_029,10.0,0.01,0.06558256596326828,0.29245972633361816,0.13849281314881975,0.29245972633361816,0.17902114614844322,10.01
cahn_hilliard_2d_o4,shared_minimax,6,point_028,10.0,0.001,0.06486278772354126,0.3160935044288635,0.14318765965878352,0.3160935044288635,0.1904781460762024,10.001
cahn_hilliard_2d_o4,shared_minimax,7,point_018,0.1,10.0,0.07517778128385544,0.3235430121421814,0.15595911580521576,0.3235430121421814,0.19936039671301842,10.1
cahn_hilliard_2d_o4,shared_minimax,8,point_024,1.0,1.0,0.07399776577949524,0.3261573612689972,0.15535416320923448,0.3261573612689972,0.20007756352424622,2.0
cahn_hilliard_2d_o4,shared_minimax,9,point_004,0.001,10.0,0.07182387262582779,0.37189599871635437,0.16343503553968608,0.37189599871635437,0.22185993567109108,10.001
cahn_hilliard_2d_o4,shared_minimax,10,point_023,1.0,0.1,0.07510504871606827,0.38140439987182617,0.16924950822054488,0.38140439987182617,0.22825472429394722,1.1
cahn_hilliard_2d_o6,war,1,point_015,0.1,0.01,0.09980466216802597,1.2390618324279785,0.351659135514449,1.2390618324279785,0.6694332472980022,0.11
cahn_hilliard_2d_o6,war,2,point_025,1.0,10.0,0.10479799658060074,1.0109350681304932,0.3254903528726294,1.0109350681304932,0.557866532355547,11.0
cahn_hilliard_2d_o6,war,3,point_040,100.0,100.0,0.10813591629266739,0.9671112298965454,0.3233874750230618,0.9671112298965454,0.5376235730946064,200.0
