task,candidate,lambda_ic,lambda_bc,war_rel_error,ad_rel_error,war_loss,ad_loss,war_steps,ad_steps,war_ms_per_step,ad_ms_per_step,war_peak_mb,ad_peak_mb,geomean,minimax,mean_error
dynamic_plate_2d_o4,point_000,0.001,0.001,0.0904875099658966,1.5887854099273682,3.064819111386896e-06,0.00031611142912879586,2093,1276,28.667704200009894,47.03288351924255,599.77880859375,738.71044921875,0.37916386380359857,1.5887854099273682,0.8396364599466324
dynamic_plate_2d_o4,point_001,0.001,0.01,0.03860055282711983,1.0097346305847168,3.773653361349716e-06,0.0011169433128088713,2106,1310,28.5036194377914,45.80837299066191,599.77880859375,738.71044921875,0.19742420051568574,1.0097346305847168,0.5241675917059183
dynamic_plate_2d_o4,point_002,0.001,0.1,0.04297306016087532,0.8292418718338013,9.544943168293685e-06,0.00411731842905283,2088,1295,28.73879688670609,46.36687124471637,599.77880859375,738.71044921875,0.18877251083309457,0.8292418718338013,0.4361074659973383
dynamic_plate_2d_o4,point_003,0.001,1.0,0.07110624015331268,0.821010172367096,8.033354970393702e-05,0.017020532861351967,2104,1264,28.51974672616633,47.4789540970085,599.77880859375,738.71044921875,0.24161735551207278,0.821010172367096,0.4460582062602043
dynamic_plate_2d_o4,point_004,0.001,10.0,1.0005377531051636,1.0028915405273438,0.04989400506019592,0.05167460814118385,2073,1307,28.953534884767375,45.91310122310431,599.77880859375,738.71044921875,1.0017139554620393,1.0028915405273438,1.0017146468162537
dynamic_plate_2d_o4,point_005,0.001,100.0,1.0000519752502441,1.0003527402877808,0.05978628247976303,0.06024758145213127,2153,1218,27.86876521381704,49.265716884022176,599.77880859375,738.71044921875,1.0002023464638492,1.0003527402877808,1.0002023577690125
dynamic_plate_2d_o4,point_006,0.001,1000.0,1.0000369548797607,1.0000501871109009,0.058629292994737625,0.06083895266056061,2158,1252,27.80645938488319,47.95524690109796,599.77880859375,738.71044921875,1.0000435709734452,1.0000501871109009,1.0000435709953308
dynamic_plate_2d_o4,point_007,0.01,0.001,0.11147744208574295,1.8073235750198364,3.879740688716993e-06,0.0004363387997727841,2098,1178,28.600954234926785,50.963399193371394,599.77880859375,738.71044921875,0.4488605676203599,1.8073235750198364,0.9594005085527897
dynamic_plate_2d_o4,point_008,0.01,0.01,0.025830332189798355,0.873859167098999,2.5175233986374224e-06,0.0005811193259432912,2118,1262,28.33214760568904,47.5624371408566,599.77880859375,738.71044921875,0.15024004983115405,0.873859167098999,0.4498447496443987
dynamic_plate_2d_o4,point_009,0.01,0.1,0.027576738968491554,0.22062166035175323,8.835448170430027e-06,0.0006540253525599837,2087,1282,28.75043820209576,46.80724570298111,599.77880859375,738.71044921875,0.07800016627107599,0.22062166035175323,0.1240991996601224
dynamic_plate_2d_o4,point_010,0.01,1.0,0.06156536936759949,0.7798808813095093,0.00012919346045237035,0.01840783841907978,2070,1280,28.99270624840173,46.90115236007841,599.77880859375,738.71044921875,0.21912018282337425,0.7798808813095093,0.4207231253385544
dynamic_plate_2d_o4,point_011,0.01,10.0,0.9971811771392822,1.0046977996826172,0.054637547582387924,0.05525887385010719,2103,1273,28.535861392645852,47.132904697663186,599.77880859375,738.71044921875,1.000932432563137,1.0046977996826172,1.0009394884109497
dynamic_plate_2d_o4,point_012,0.01,100.0,1.0000733137130737,1.000841498374939,0.06237243115901947,0.05653862655162811,2101,1282,28.560932658290024,46.823783093328224,599.77880859375,738.71044921875,1.0004573323142687,1.000841498374939,1.0004574060440063
dynamic_plate_2d_o4,point_013,0.01,1000.0,0.999965488910675,1.0000596046447754,0.05919596552848816,0.06296750158071518,2155,1181,27.853524216435623,50.81857911687246,599.77880859375,738.71044921875,1.0000125456705178,1.0000596046447754,1.0000125467777252
dynamic_plate_2d_o4,point_014,0.1,0.001,0.17500540614128113,2.475358247756958,5.96204336034134e-06,0.0007430716650560498,2073,1233,28.955225569941373,48.66522476107293,599.77880859375,738.71044921875,0.6581801238976124,2.475358247756958,1.3251818269491196
dynamic_plate_2d_o4,point_015,0.1,0.01,0.02954830601811409,0.49952876567840576,5.5951632020878606e-06,0.0003591335262171924,2105,1278,28.514595352768048,46.9660894473044,599.77880859375,738.71044921875,0.12149168215608977,0.49952876567840576,0.2645385358482599
dynamic_plate_2d_o4,point_016,0.1,0.1,0.02066943235695362,0.10180641710758209,6.018166004650993e-06,0.00026783935027197003,2065,1262,29.069023555004858,47.564748751380364,599.77880859375,738.71044921875,0.04587244109385257,0.10180641710758209,0.06123792473226786
dynamic_plate_2d_o4,point_017,0.1,1.0,0.046778906136751175,0.09631086140871048,0.00010329365613870323,0.0012433506781235337,2137,1228,28.082497964430537,48.89759137098001,599.77880859375,738.71044921875,0.06712165630992518,0.09631086140871048,0.07154488377273083
