candidate_id,candidate_index,real_tanh_autodiff_loss,real_tanh_autodiff_rel_error,real_tanh_autodiff_status,real_tanh_autodiff_steps,war_loss,war_rel_error,war_status,war_steps,weight_labels,weight_map,weights
point_000,0,0.4746498167514801,3.186647415161133,complete,148,0.17663507163524628,4.783811092376709,complete,850,"[""1e-3"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.001}","[0.001, 0.001]"
point_001,1,0.5020620226860046,2.1201417446136475,complete,149,0.8944652080535889,3.6260321140289307,complete,853,"[""1e-3"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.001}","[0.001, 0.01]"
point_002,2,0.529931902885437,1.2898197174072266,complete,144,0.8896164298057556,1.4717483520507812,complete,855,"[""1e-3"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.001}","[0.001, 0.1]"
point_003,3,0.6386324763298035,0.7932459115982056,complete,151,0.4276900887489319,0.9609955549240112,complete,855,"[""1e-3"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.001}","[0.001, 1.0]"
point_004,4,0.8653859496116638,0.9972030520439148,complete,149,0.9399444460868835,1.0007219314575195,complete,850,"[""1e-3"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.001}","[0.001, 10.0]"
point_005,5,0.859200119972229,0.9989736676216125,complete,153,0.8883866667747498,1.0002316236495972,complete,856,"[""1e-3"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.001}","[0.001, 100.0]"
point_006,6,0.8735703229904175,0.9998547434806824,complete,148,0.937511146068573,1.0000159740447998,complete,860,"[""1e-3"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.001}","[0.001, 1000.0]"
point_007,7,0.49723920226097107,2.652080774307251,complete,150,0.32321158051490784,5.236993789672852,complete,846,"[""1e-2"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.01}","[0.01, 0.001]"
point_008,8,0.5115208625793457,1.8960787057876587,complete,152,0.9303465485572815,3.5277199745178223,complete,844,"[""1e-2"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.01}","[0.01, 0.01]"
point_009,9,0.5139126777648926,1.2731865644454956,complete,151,0.8656741380691528,1.5246344804763794,complete,865,"[""1e-2"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.01}","[0.01, 0.1]"
point_010,10,0.6429378986358643,0.7987034916877747,complete,150,0.4029444754123688,0.9378282427787781,complete,868,"[""1e-2"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.01}","[0.01, 1.0]"
point_011,11,0.8884743452072144,0.9952926635742188,complete,152,0.9158475995063782,0.9990139007568359,complete,846,"[""1e-2"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.01}","[0.01, 10.0]"
point_012,12,0.8658903241157532,0.9986912608146667,complete,149,0.9123687744140625,1.0000334978103638,complete,857,"[""1e-2"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.01}","[0.01, 100.0]"
point_013,13,0.8741227984428406,0.99983149766922,complete,148,0.9566240906715393,0.9999982714653015,complete,861,"[""1e-2"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.01}","[0.01, 1000.0]"
point_014,14,0.5536608695983887,1.4858510494232178,complete,152,0.0011091285850852728,2.3094191551208496,complete,855,"[""1e-1"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.1}","[0.1, 0.001]"
point_015,15,0.558721125125885,1.3565832376480103,complete,147,0.00536034069955349,0.5426556468009949,complete,845,"[""1e-1"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.1}","[0.1, 0.01]"
point_016,16,0.5399032235145569,1.1134309768676758,complete,151,0.0014451263705268502,0.23504120111465454,complete,853,"[""1e-1"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.1}","[0.1, 0.1]"
point_017,17,0.6185785531997681,0.785259485244751,complete,151,0.002370744477957487,0.07804536074399948,complete,854,"[""1e-1"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.1}","[0.1, 1.0]"
point_018,18,0.8913716673851013,0.979936420917511,complete,147,0.9453310370445251,0.982640266418457,complete,850,"[""1e-1"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.1}","[0.1, 10.0]"
point_019,19,0.8916224837303162,0.9966320395469666,complete,150,0.9115538597106934,0.9979769587516785,complete,845,"[""1e-1"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.1}","[0.1, 100.0]"
point_020,20,0.8807070851325989,0.9995824694633484,complete,151,0.9090300798416138,0.9998095631599426,complete,853,"[""1e-1"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.1}","[0.1, 1000.0]"
point_021,21,0.6318058967590332,1.1242804527282715,complete,151,0.0012453628005459905,1.379170298576355,complete,844,"[""1e+0"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 1.0}","[1.0, 0.001]"
point_022,22,0.6296340227127075,1.1086342334747314,complete,149,0.0013173706829547882,0.8162838220596313,complete,846,"[""1e+0"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 1.0}","[1.0, 0.01]"
point_023,23,0.6779167652130127,0.9603005051612854,complete,146,0.0023336298763751984,0.16127213835716248,complete,849,"[""1e+0"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 1.0}","[1.0, 0.1]"
point_024,24,0.6796229481697083,0.72634357213974,complete,148,0.000708695559296757,0.0476384162902832,complete,857,"[""1e+0"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 1.0}","[1.0, 1.0]"
point_025,25,0.9192842841148376,0.848641037940979,complete,147,0.030602648854255676,0.21270564198493958,complete,869,"[""1e+0"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 1.0}","[1.0, 10.0]"
point_026,26,0.9130812883377075,0.9776189923286438,complete,149,0.9578657746315002,0.9798149466514587,complete,853,"[""1e+0"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 1.0}","[1.0, 100.0]"
point_027,27,0.9409406781196594,0.9972573518753052,complete,150,0.9622485041618347,0.9976963400840759,complete,857,"[""1e+0"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 1.0}","[1.0, 1000.0]"
point_028,28,0.6361473798751831,1.1982992887496948,complete,146,0.004106918349862099,2.241455078125,complete,856,"[""1e+1"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 10.0}","[10.0, 0.001]"
point_029,29,0.6230146884918213,1.1982978582382202,complete,147,0.005841301754117012,1.9197827577590942,complete,846,"[""1e+1"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 10.0}","[10.0, 0.01]"
point_030,30,0.5933624505996704,1.1463048458099365,complete,151,0.005556272342801094,0.6290123462677002,complete,849,"[""1e+1"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 10.0}","[10.0, 0.1]"
point_031,31,0.6204977631568909,0.7899788022041321,complete,153,0.0013552429154515266,0.0328851081430912,complete,869,"[""1e+1"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 10.0}","[10.0, 1.0]"
point_032,32,0.8314458131790161,0.5341574549674988,complete,145,0.0032553737983107567,0.02194339781999588,complete,857,"[""1e+1"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 10.0}","[10.0, 10.0]"
point_033,33,1.2797951698303223,0.848638653755188,complete,147,0.037136007100343704,0.15520980954170227,complete,842,"[""1e+1"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 10.0}","[10.0, 100.0]"
point_034,34,1.4284712076187134,0.9748027324676514,complete,147,1.4494566917419434,0.9822428822517395,complete,853,"[""1e+1"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 10.0}","[10.0, 1000.0]"
point_035,35,0.9711903929710388,1.1960585117340088,complete,148,0.013812001794576645,1.6725407838821411,complete,854,"[""1e+2"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 100.0}","[100.0, 0.001]"
point_036,36,0.9285586476325989,1.1636595726013184,complete,151,0.019026953727006912,1.8055874109268188,complete,858,"[""1e+2"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 100.0}","[100.0, 0.01]"
point_037,37,1.0148274898529053,1.1830729246139526,complete,146,0.019735680893063545,1.361649990081787,complete,858,"[""1e+2"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 100.0}","[100.0, 0.1]"
point_038,38,0.9446282386779785,0.9707874655723572,complete,149,0.010604082606732845,0.38580402731895447,complete,849,"[""1e+2"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 100.0}","[100.0, 1.0]"
point_039,39,1.135046362876892,0.6120103597640991,complete,147,0.012260332703590393,0.08860290050506592,complete,855,"[""1e+2"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 100.0}","[100.0, 10.0]"
point_040,40,1.6838984489440918,0.5761110186576843,complete,147,0.033365897834300995,0.10000474005937576,complete,846,"[""1e+2"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 100.0}","[100.0, 100.0]"
point_041,41,4.108926296234131,0.8087636232376099,complete,150,0.6561296582221985,0.7057976722717285,complete,856,"[""1e+2"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 100.0}","[100.0, 1000.0]"
point_042,42,3.52068829536438,1.1888058185577393,complete,151,0.3742011785507202,1.885330080986023,complete,846,"[""1e+3"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 1000.0}","[1000.0, 0.001]"
point_043,43,3.5417652130126953,1.2086793184280396,complete,147,0.3046455383300781,1.9680075645446777,complete,845,"[""1e+3"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 1000.0}","[1000.0, 0.01]"
point_044,44,3.2961013317108154,1.1888408660888672,complete,149,0.21811340749263763,1.856652855873108,complete,857,"[""1e+3"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 1000.0}","[1000.0, 0.1]"
