target,batch,order,directions,nested_mean_ms,nested_std_ms,nested_seed_medians_ms,waring_batched_mean_ms,waring_batched_std_ms,waring_batched_seed_medians_ms,paired_speedup_mean,paired_speedups
111111,100,6,1,612.4073440829912,0.8648528898951436,613.083759323;612.705389038;611.432883888,4.416352137923241,0.028504629081867863,4.412107170;4.390208051;4.446741194,138.67267329200317,138.954865726;139.561811644;137.501342506
111222,100,6,4,617.4409457792839,0.7187330730566075,617.090145126;616.964977235;618.267714977,4.73635271191597,0.12713362780227225,4.805497825;4.589632154;4.813928157,130.42408839812904,128.413364771;134.425800718;128.433099706
112233,100,6,9,624.8800978064537,1.9700983778610162,622.625211254;625.746959820;626.268122345,4.691056907176971,0.0299894287254257,4.676811397;4.725513980;4.670845345,133.2097823549231,133.130280097;132.418814651;134.080252317
123456,100,6,32,617.0409092058738,0.7590024601983972,616.462269798;616.760170087;617.900287732,5.947817116975784,0.12890591311628086,6.096648052;5.871465430;5.875337869,103.77569059052522,101.114951118;105.043651789;105.168468864
11223344,100,8,27,5138.625233744581,4.745480926659215,5135.048301890;5144.008662552;5136.818736792,21.734091142813366,0.0036771192726737715,21.733717993;21.730614826;21.737940609,236.4315890306817,236.271046839;236.717124836;236.306595417
111222333,100,9,16,15653.073800106844,3.7628881767809954,15649.128029123;15653.471091762;15656.622279435,13.801789532105127,0.008894844670406606,13.791779056;13.808785006;13.804804534,1134.1338613471048,1134.670731409;1133.587863415;1134.142989217
123456,400,6,32,620.8702586591244,2.3095154844016803,622.256420553;618.204165250;622.150190175,28.994193921486538,0.018841142501008573,29.015151784;28.988771141;28.978658840,21.41360314442994,21.445912990;21.325642341;21.469254102
111222333,400,9,16,15272.860777874788,3.355441556717457,15273.616291583;15275.774052367;15269.191989675,70.34027514358361,0.008658281799403058,70.344714448;70.330297574;70.345813408,217.12825431993113,217.125286690;217.200475175;217.059001095
123456,1600,6,32,619.388272985816,0.9467298934471914,620.314782485;618.422541767;619.427494705,111.7486668129762,0.04524374289956057,111.766345799;111.782401800;111.697252840,5.542691583421189,5.550103460;5.532378369;5.545592922
111222333,1600,9,16,15662.962581962347,20.866404372994047,15658.750940114;15644.523248076;15685.613557696,279.89135434230167,0.04989144980664828,279.935143888;279.901878908;279.837040231,55.96087405680899,55.937067146;55.892883996;56.052671029
