L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,seed,steps,sweep,variant
0.0001130498655372775,5.4610110495822627e-08,jet,31.56733120241287,False,2,99842,315.75341796875,polyharm1d_o2,0,19008,2.0,complex_sinh
0.00028209579338938224,1.875259542704709e-07,jet,32.37451686192912,False,2,66049,315.033203125,polyharm1d_o2,0,18534,2.0,fourier
6.296357168759597e-05,1.1280252903961974e-06,jet,29.532426886259778,False,2,49921,314.974609375,polyharm1d_o2,0,20318,2.0,siren
0.0002988790188324883,6.262188620050199e-06,jet,87.83311417366681,False,2,149763,704.0302734375,polyharm1d_o2,0,6832,2.0,mscale
1.0455539318748747e-05,5.385264832634015e-08,jet,31.610576378126822,False,2,99842,315.75341796875,polyharm1d_o2,1,18982,2.0,complex_sinh
0.0002447909460691543,6.348761146806943e-07,jet,32.52619101877138,False,2,66049,315.033203125,polyharm1d_o2,1,18448,2.0,fourier
6.312977322796116e-05,3.389788227909597e-07,jet,29.692679066900443,False,2,49921,314.974609375,polyharm1d_o2,1,20208,2.0,siren
0.00020214261485141622,4.5084052227628984e-06,jet,87.6999124917269,False,2,149763,704.0302734375,polyharm1d_o2,1,6843,2.0,mscale
0.0004762391499780925,1.755194218753784e-06,jet,56.49991891383788,False,4,99842,476.00341796875,polyharm1d_o4,0,10621,4.0,complex_sinh
0.03833139653198305,9.548152595692323e-05,jet,59.496874735424164,False,4,66049,475.158203125,polyharm1d_o4,0,10086,4.0,fourier
0.021257585823560018,1.9738339047233913e-06,jet,54.25172899147074,False,4,49921,475.224609375,polyharm1d_o4,0,11061,4.0,siren
0.015180756812233786,1.9492329508221338e-06,jet,160.79200622409846,False,4,149763,1131.42919921875,polyharm1d_o4,0,3733,4.0,mscale
0.00047413417275037653,1.8923652033082408e-06,jet,56.6189477433192,False,4,99842,476.00341796875,polyharm1d_o4,1,10598,4.0,complex_sinh
0.041433796306553396,1.4976420105731348e-05,jet,59.22925792003493,False,4,66049,475.158203125,polyharm1d_o4,1,10131,4.0,fourier
0.017551873483483613,6.973432640463284e-06,jet,54.500342768149196,False,4,49921,475.224609375,polyharm1d_o4,1,11010,4.0,siren
0.013641989885273157,1.3008374870747534e-06,jet,160.62683297014084,False,4,149763,1131.42919921875,polyharm1d_o4,1,3736,4.0,mscale
0.03701678839033064,4.867641465499654e-07,jet,86.00296951028525,False,6,99842,636.25341796875,polyharm1d_o6,0,6978,6.0,complex_sinh
0.1550572459544835,0.009192648491729629,jet,90.76485196034102,False,6,66049,635.283203125,polyharm1d_o6,0,6611,6.0,fourier
0.05758152535667629,0.0003161317537742082,jet,83.81080559621351,False,6,49921,635.474609375,polyharm1d_o6,0,7160,6.0,siren
0.06297010380691141,5.226508801415047e-05,jet,247.47953753111904,False,6,149763,1644.1474609375,polyharm1d_o6,0,2425,6.0,mscale
0.26007457882841706,8.981185908316611e-06,jet,85.5029311880945,False,6,99842,636.25341796875,polyharm1d_o6,1,7018,6.0,complex_sinh
0.4231602041695315,0.163636545555263,jet,90.58886762131411,False,6,66049,635.283203125,polyharm1d_o6,1,6624,6.0,fourier
0.13617215140570804,0.005975211017998646,jet,83.75742254468085,False,6,49921,635.474609375,polyharm1d_o6,1,7165,6.0,siren
0.05472506870795963,1.22532223074352e-05,jet,247.50617729403925,False,6,149763,1644.1474609375,polyharm1d_o6,1,2425,6.0,mscale
0.14201225935912268,4.050212644841139e-05,jet,119.48683276355693,False,8,99842,796.50341796875,polyharm1d_o8,0,5023,8.0,complex_sinh
0.9910819925208961,0.752946816737347,jet,127.16280939391001,False,8,66049,795.408203125,polyharm1d_o8,0,4719,8.0,fourier
0.9875140360620938,0.5645454432222834,jet,117.69952030005315,False,8,49921,795.724609375,polyharm1d_o8,0,5099,8.0,siren
0.1313872857593227,0.00022393832292224276,jet,348.65469275351774,False,8,149763,2202.96337890625,polyharm1d_o8,0,1722,8.0,mscale
0.27873400150549227,3.234565011776609e-05,jet,119.41755083848291,False,8,99842,796.50341796875,polyharm1d_o8,1,5025,8.0,complex_sinh
1.0277080498342406,1.2237479291364135,jet,127.22936008999807,False,8,66049,795.408203125,polyharm1d_o8,1,4717,8.0,fourier
1.0234186740212359,0.6833498959639142,jet,117.83295873923407,False,8,49921,795.724609375,polyharm1d_o8,1,5093,8.0,siren
0.06890622070524298,0.0003771591166172313,jet,348.77530113187277,False,8,149763,2202.96337890625,polyharm1d_o8,1,1721,8.0,mscale
0.9700211577177847,0.45439912733171484,jet,159.01513334470306,False,10,99842,999.31494140625,polyharm1d_o10,0,3774,10.0,complex_sinh
1.0246888084756012,7835.517068562782,jet,169.01722332130635,False,10,66049,993.3564453125,polyharm1d_o10,0,3551,10.0,fourier
0.97109277095556,176.41113521534558,jet,157.45636054186653,False,10,49921,997.4853515625,polyharm1d_o10,0,3812,10.0,siren
0.6019249449037516,0.19423369357330939,jet,468.3833204285356,False,10,149763,2809.826171875,polyharm1d_o10,0,1282,10.0,mscale
0.9765160088338217,0.47248784289317747,jet,159.25957859274308,False,10,99842,999.31494140625,polyharm1d_o10,1,3768,10.0,complex_sinh
1.0371586652195985,17543.217980900354,jet,168.92669479345105,False,10,66049,994.3564453125,polyharm1d_o10,1,3553,10.0,fourier
1.0405863221351865,1461.1456430152416,jet,157.70944265377037,False,10,49921,997.4853515625,polyharm1d_o10,1,3805,10.0,siren
0.6410950922950766,0.2500362522403134,jet,469.1813505080063,False,10,149763,2809.826171875,polyharm1d_o10,1,1280,10.0,mscale
